# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_corrected_racon2.fasta.masurca.fa -o flye_corrected_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_20	11433280	11478160	3429.2	3014
EOG090C000L	Fragmented	scaffold_1089	3482816	3525946	4735.4	3180
EOG090C000M	Complete	contig_851	632017	662485	4644.0	3547
EOG090C000O	Complete	scaffold_8	21820947	21851434	5902.8	3324
EOG090C0012	Complete	contig_743	34263	271783	5468.3	4077
EOG090C0013	Complete	contig_25	3521927	3607413	2283.1	2299
EOG090C001G	Complete	contig_426	695476	720705	2799.7	2063
EOG090C001H	Complete	contig_458	9707935	9712195	571.3	1227
EOG090C001I	Fragmented	contig_195	1180207	1195488	1249.2	1410
EOG090C001K	Fragmented	contig_318	216672	227794	1460.3	858
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1162	657069	673140	818.0	725
EOG090C0039	Complete	contig_253	2767567	2820379	2179.5	1660
EOG090C003B	Complete	contig_1162	1258672	1279027	1616.8	1716
EOG090C003E	Complete	contig_318	712153	773411	1901.7	1684
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_20	5176154	5191221	1346.4	1023
EOG090C003P	Missing
EOG090C003R	Complete	contig_190	20579442	20614435	4016.8	2232
EOG090C003T	Complete	contig_22	253921	336698	2839.0	2508
EOG090C003V	Complete	contig_407	1403573	1428772	574.4	593
EOG090C003X	Fragmented	contig_502	1765271	1779069	1851.8	1577
EOG090C0044	Fragmented	contig_1146	32336	58380	2535.8	1757
EOG090C0045	Complete	contig_72	781151	782711	1277.9	731
EOG090C004I	Complete	contig_458	7201058	7259899	3885.7	2275
EOG090C0051	Missing
EOG090C005E	Complete	contig_426	1637837	1740052	2626.3	2136
EOG090C005G	Fragmented	contig_190	19994410	20016029	1838.5	1018
EOG090C005H	Complete	contig_905	380246	417452	1155.7	1389
EOG090C005N	Missing
EOG090C005U	Complete	contig_307	243657	335848	3701.0	2195
EOG090C0060	Complete	contig_1203	276295	290689	2498.8	1678
EOG090C0062	Missing
EOG090C0064	Complete	scaffold_380	92255	127310	2088.5	1561
EOG090C0067	Fragmented	contig_583	3556872	3576765	2111.4	1409
EOG090C0069	Complete	contig_873	1449634	1499357	2171.1	1965
EOG090C006E	Fragmented	contig_559	6569090	6582861	1271.8	940
EOG090C006L	Complete	contig_790	372471	407434	1618.0	1037
EOG090C006S	Complete	contig_1162	321115	351540	1264.6	1280
EOG090C006T	Missing
EOG090C006Y	Complete	contig_423	1489094	1521392	3275.7	2208
EOG090C006Z	Complete	scaffold_8	18996639	19013552	1021.7	796
EOG090C0070	Complete	contig_873	4067174	4084477	2679.6	1864
EOG090C0071	Missing
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Fragmented	contig_212	2530956	2570852	920.9	944
EOG090C007V	Complete	contig_10	12772455	12843599	2839.8	1652
EOG090C007Y	Missing
EOG090C007Z	Complete	contig_197	4813646	4852004	1499.7	1596
EOG090C0087	Complete	contig_318	3642373	3675715	1041.4	1271
EOG090C008I	Missing
EOG090C008K	Complete	contig_137	9925676	9974126	1507.0	1649
EOG090C008M	Complete	contig_23	1325098	1393468	1349.2	1154
EOG090C008V	Complete	contig_458	7524911	7532386	1129.4	1530
EOG090C008X	Complete	contig_583	5208796	5242233	3373.1	1867
EOG090C008Y	Fragmented	contig_747	672022	690815	1396.9	935
EOG090C008Z	Duplicated	contig_217	15665249	15741842	2073.4	1761
EOG090C008Z	Duplicated	contig_704	571689	760021	1949.9	1758
EOG090C0099	Complete	contig_129	11333546	11399717	2038.5	1465
EOG090C009C	Complete	scaffold_152	5132391	5144273	1515.4	914
EOG090C009J	Complete	contig_426	1387138	1451380	1571.6	1146
EOG090C009Q	Complete	contig_264	11827690	11898837	2838.7	1824
EOG090C009W	Fragmented	scaffold_8	15872085	15882566	551.4	488
EOG090C00A0	Complete	contig_905	3206592	3292210	1892.3	1468
EOG090C00AD	Missing
EOG090C00AG	Missing
EOG090C00AN	Complete	contig_674	814732	835264	2022.3	1386
EOG090C00AQ	Fragmented	contig_137	1720732	1812479	2020.5	1493
EOG090C00AV	Complete	contig_745	422321	508969	910.8	1151
EOG090C00B1	Complete	contig_583	5258518	5278378	1197.0	763
EOG090C00B3	Complete	scaffold_8	19689261	19728402	996.0	1635
EOG090C00BD	Complete	contig_393	305368	464388	1679.6	1886
EOG090C00BE	Missing
EOG090C00BG	Fragmented	contig_675	886813	908433	1914.7	1235
EOG090C00BJ	Complete	contig_873	3242643	3295726	1083.9	1152
EOG090C00BK	Complete	contig_559	2399104	2414214	2797.6	1731
EOG090C00BM	Complete	contig_458	10744070	10831090	1536.3	1235
EOG090C00BS	Complete	contig_583	9524657	9572778	1778.3	1249
EOG090C00BT	Complete	contig_318	2851873	2855755	1314.5	899
EOG090C00BU	Complete	contig_70	4988789	5046427	1375.7	1032
EOG090C00BW	Complete	scaffold_152	2085378	2155461	2018.4	1452
EOG090C00BX	Fragmented	contig_10	7269415	7295335	1431.9	1255
EOG090C00C0	Complete	contig_288	603671	672590	2165.8	1642
EOG090C00C4	Complete	contig_603	1997457	2064885	1960.9	1289
EOG090C00C8	Complete	contig_505	1038863	1111191	1474.8	1305
EOG090C00C9	Complete	contig_426	6166842	6284322	2355.5	1469
EOG090C00CC	Missing
EOG090C00CG	Complete	contig_431	109485	146677	1159.1	1355
EOG090C00CI	Complete	scaffold_8	3344414	3381731	2055.7	1134
EOG090C00CK	Fragmented	contig_139	1920971	1931513	1021.9	753
EOG090C00CL	Complete	contig_700	794814	816123	1427.1	907
EOG090C00CO	Complete	contig_426	6631774	6692890	1288.8	1162
EOG090C00CU	Fragmented	contig_20	6758792	6762805	528.4	545
EOG090C00D5	Complete	contig_217	18056496	18107950	1509.0	1513
EOG090C00D6	Complete	contig_190	12939373	12986254	2579.5	1537
EOG090C00DB	Complete	contig_789	1765603	1806517	1286.6	1467
EOG090C00DE	Complete	contig_803	294064	306178	1837.3	1205
EOG090C00DG	Missing
EOG090C00DK	Missing
EOG090C00DO	Missing
EOG090C00DS	Complete	contig_692	9068	80059	1576.4	1363
