# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_corrected_racon2_pilon1.fasta -o flye_corrected_racon2_pilon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_20_pilon	11464179	11500525	2126.5	1372
EOG090C000L	Fragmented	scaffold_1089_pilon	3498269	3535788	5810.4	3003
EOG090C000M	Complete	contig_1433_pilon	105957	162044	4025.5	3217
EOG090C000O	Fragmented	scaffold_8_pilon	21862013	21879037	4406.9	1974
EOG090C0012	Complete	contig_743_pilon	34344	343291	8302.9	3911
EOG090C0013	Complete	contig_25_pilon	3570103	3615285	4082.8	2217
EOG090C001G	Complete	contig_426_pilon	667169	740067	6728.9	3620
EOG090C001H	Complete	contig_458_pilon	9690150	9736640	2986.9	3512
EOG090C001I	Complete	contig_195_pilon	1165871	1182570	3202.2	2100
EOG090C001K	Complete	contig_332_pilon	309208	322721	1602.5	3170
EOG090C002C	Complete	contig_873_pilon	1519506	1583779	6143.5	2949
EOG090C002E	Complete	contig_675_pilon	1376055	1451746	6229.6	3193
EOG090C002F	Complete	contig_1162_pilon	649475	697191	2969.3	2728
EOG090C0039	Complete	contig_253_pilon	2785103	2834822	5275.5	2645
EOG090C003B	Complete	contig_137_pilon	12872517	12932349	4174.9	2612
EOG090C003E	Complete	contig_318_pilon	712152	757286	4739.1	2738
EOG090C003K	Complete	contig_851_pilon	412544	441825	3265.4	3124
EOG090C003L	Complete	scaffold_380_pilon	4523203	4609159	2436.9	2225
EOG090C003P	Complete	scaffold_749_pilon	3758819	3854873	3182.7	2362
EOG090C003R	Complete	contig_190_pilon	20609572	20666536	4284.4	2528
EOG090C003T	Complete	contig_22_pilon	254229	337314	3573.7	2736
EOG090C003V	Complete	contig_407_pilon	1420660	1430307	1253.3	840
EOG090C003X	Complete	contig_502_pilon	1759456	1792747	4328.6	3149
EOG090C0044	Complete	contig_1146_pilon	28864	81266	4583.3	2396
EOG090C0045	Complete	contig_72_pilon	757116	774858	1682.9	1165
EOG090C004I	Complete	contig_458_pilon	7215320	7269320	5265.6	2538
EOG090C0051	Complete	contig_253_pilon	3734998	3779354	4742.8	2363
EOG090C005E	Complete	contig_426_pilon	1649928	1738523	4611.2	2205
EOG090C005G	Complete	contig_190_pilon	20032195	20064713	4886.0	2283
EOG090C005H	Complete	contig_905_pilon	388369	405459	2160.4	1721
EOG090C005N	Complete	scaffold_749_pilon	1100885	1141555	4487.5	2061
EOG090C005U	Complete	contig_307_pilon	249390	336691	4586.1	2343
EOG090C0060	Complete	contig_1203_pilon	274923	291400	4121.3	2328
EOG090C0062	Complete	contig_398_pilon	5399787	5418049	5246.3	2182
EOG090C0064	Complete	scaffold_380_pilon	92447	122425	3191.2	1629
EOG090C0067	Complete	contig_583_pilon	3555344	3582071	3498.0	2143
EOG090C0069	Complete	contig_873_pilon	1460221	1489697	3603.7	1981
EOG090C006E	Complete	contig_559_pilon	6592601	6636224	3269.6	1945
EOG090C006L	Complete	contig_790_pilon	367356	394034	3796.7	1879
EOG090C006S	Complete	contig_1162_pilon	309601	346655	2529.7	1712
EOG090C006T	Complete	contig_1349_pilon	176651	221962	3665.6	1873
EOG090C006Y	Complete	contig_423_pilon	1480668	1523346	5051.1	2429
EOG090C006Z	Complete	scaffold_8_pilon	19032238	19051416	2609.6	1652
EOG090C0070	Complete	contig_873_pilon	4063232	4091275	4154.3	1996
EOG090C0071	Complete	contig_318_pilon	3178933	3199730	3810.7	1908
EOG090C007A	Complete	contig_35_pilon	638082	689730	3622.6	1825
EOG090C007N	Complete	scaffold_8_pilon	16950743	16965744	1881.6	1068
EOG090C007O	Complete	contig_212_pilon	2524727	2559078	1483.7	1022
EOG090C007V	Duplicated	contig_10_pilon	12798408	12870005	3217.0	1742
EOG090C007V	Duplicated	contig_190_pilon	17799006	17879051	2743.1	1556
EOG090C007Y	Complete	contig_583_pilon	7195418	7315510	3391.0	1819
EOG090C007Z	Complete	contig_197_pilon	4822654	4843000	2878.5	1870
EOG090C0087	Complete	contig_318_pilon	3662662	3687755	2146.0	1474
EOG090C008I	Complete	scaffold_152_pilon	1044370	1085917	1608.7	1227
EOG090C008K	Complete	contig_137_pilon	9959959	9973219	2944.4	2463
EOG090C008M	Complete	contig_23_pilon	1338274	1377810	2720.3	1618
EOG090C008V	Complete	contig_458_pilon	7542676	7588110	2759.1	2276
EOG090C008X	Complete	contig_583_pilon	5226918	5246859	3907.3	1937
EOG090C008Y	Complete	contig_747_pilon	665703	698701	3425.1	1818
EOG090C008Z	Complete	scaffold_8_pilon	10860555	10912711	3765.5	1771
EOG090C0099	Complete	contig_129_pilon	11356368	11420166	3100.5	1579
EOG090C009C	Complete	scaffold_152_pilon	5140188	5157981	2562.7	1380
EOG090C009J	Complete	contig_426_pilon	1390925	1476149	2711.7	1548
EOG090C009Q	Complete	contig_264_pilon	11840926	11912955	3394.1	1844
EOG090C009W	Complete	scaffold_8_pilon	15895375	15907862	996.1	637
EOG090C00A0	Complete	contig_905_pilon	3229753	3314174	3141.4	1595
EOG090C00AD	Complete	scaffold_8_pilon	19192033	19241266	3500.2	1860
EOG090C00AG	Complete	contig_407_pilon	5717545	5741413	2699.7	1771
EOG090C00AN	Complete	contig_674_pilon	805439	845343	3058.3	1827
EOG090C00AQ	Complete	contig_137_pilon	1714765	1795032	3235.3	1689
EOG090C00AV	Complete	contig_745_pilon	426630	510523	1356.2	1196
EOG090C00B1	Complete	contig_583_pilon	5260165	5283137	2612.2	1673
EOG090C00B3	Complete	scaffold_8_pilon	19731110	19765411	1558.7	1922
EOG090C00BD	Complete	contig_190_pilon	21507524	21531589	2877.1	1988
EOG090C00BE	Fragmented	scaffold_8_pilon	23422799	23431937	1348.8	751
EOG090C00BG	Complete	contig_675_pilon	878388	910385	3157.0	1621
EOG090C00BJ	Complete	contig_873_pilon	3251038	3305932	1649.1	1564
EOG090C00BK	Complete	contig_559_pilon	2408465	2423401	3629.7	1769
EOG090C00BM	Complete	contig_458_pilon	10770590	10857941	2188.2	1199
EOG090C00BS	Complete	contig_583_pilon	9550632	9582645	1507.5	1411
EOG090C00BT	Complete	contig_318_pilon	2858269	2868628	2051.3	1145
EOG090C00BU	Fragmented	contig_70_pilon	5035807	5064018	1189.4	698
EOG090C00BW	Complete	scaffold_152_pilon	2091069	2161264	2687.6	1464
EOG090C00BX	Complete	contig_10_pilon	7285218	7311284	1920.6	1392
EOG090C00C0	Complete	contig_288_pilon	604542	673201	3117.5	1801
EOG090C00C4	Complete	contig_603_pilon	1998780	2053837	2830.7	1548
EOG090C00C8	Complete	contig_505_pilon	1040011	1103809	2212.8	1319
EOG090C00C9	Complete	contig_426_pilon	6173116	6290902	2999.7	1535
EOG090C00CC	Complete	contig_142_pilon	1766863	1828024	2343.4	1611
EOG090C00CG	Complete	contig_431_pilon	124653	147050	2217.2	1472
EOG090C00CI	Complete	scaffold_8_pilon	3355686	3385350	3013.7	1501
EOG090C00CK	Complete	contig_139_pilon	1919587	1952272	2997.7	1633
EOG090C00CL	Complete	contig_700_pilon	797144	846229	3245.2	1531
EOG090C00CO	Complete	contig_426_pilon	6639125	6692647	2682.4	1452
EOG090C00CU	Complete	contig_20_pilon	6763412	6773205	1785.8	1591
EOG090C00D5	Complete	contig_217_pilon	18085503	18140198	3653.0	1763
EOG090C00D6	Complete	contig_190_pilon	12967352	13010734	3127.0	1533
EOG090C00DB	Complete	contig_789_pilon	1770858	1793576	2262.8	1477
EOG090C00DE	Complete	contig_803_pilon	287186	306971	3060.3	1607
EOG090C00DG	Complete	contig_44_pilon	611806	639953	923.1	1332
EOG090C00DK	Complete	contig_583_pilon	5441227	5504725	3355.1	1611
EOG090C00DO	Complete	contig_217_pilon	27448762	27478809	2162.7	1518
EOG090C00DS	Complete	contig_692_pilon	7559	81826	2387.7	1570
EOG090C00DT	Complete	contig_149_pilon	4084364	4113067	3056.5	1554
EOG090C00E5	Complete	contig_1106_pilon	703296	731986	3290.8	2033
EOG090C00E9	Complete	contig_857_pilon	1416208	1459292	3161.9	1523
EOG090C00EE	Complete	contig_217_pilon	16144325	16176021	3248.2	1690
