# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_corrected_racon1.fasta -o flye_corrected_racon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_20	11389999	11476778	1095.0	1100
EOG090C000L	Fragmented	scaffold_1089	3454636	3523056	3798.3	3261
EOG090C000M	Fragmented	contig_851	645567	674234	3468.6	2346
EOG090C000O	Missing
EOG090C0012	Complete	contig_743	34332	329726	5519.9	3847
EOG090C0013	Missing
EOG090C001G	Complete	contig_426	706770	725052	1969.0	1589
EOG090C001H	Fragmented	contig_458	9716729	9724444	669.9	598
EOG090C001I	Missing
EOG090C001K	Fragmented	contig_318	216597	225716	1130.0	643
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1162	657093	681394	614.8	667
EOG090C0039	Complete	contig_253	2780134	2829164	1485.5	1050
EOG090C003B	Fragmented	contig_137	12846087	12877145	731.7	862
EOG090C003E	Complete	contig_318	711537	756534	1640.7	1119
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_20	5186467	5189724	903.6	678
EOG090C003P	Missing
EOG090C003R	Missing
EOG090C003T	Missing
EOG090C003V	Complete	contig_407	1419350	1427965	522.4	488
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	contig_72	778844	781087	1181.5	673
EOG090C0045	Duplicated	contig_72	781165	783233	1069.3	720
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	contig_426	1637812	1757108	1884.4	2014
EOG090C005G	Fragmented	contig_190	19987604	20008941	1548.4	929
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	contig_307	258129	335737	3024.6	2022
EOG090C0060	Fragmented	contig_1203	277023	290403	1696.9	1319
EOG090C0062	Fragmented	contig_398	5395753	5410031	3357.7	1806
EOG090C0064	Complete	scaffold_380	92390	127532	1862.4	1209
EOG090C0067	Missing
EOG090C0069	Missing
EOG090C006E	Complete	contig_559	6566143	6596330	1893.1	1657
EOG090C006L	Complete	contig_790	370919	400395	2104.3	1598
