# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/canu_racon2_pilon2.fasta -o canu_racon2_pilon2 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	tig00006032_pilon_pilon	1568997	1605268	1875.2	1083
EOG090C000L	Complete	tig00006322_pilon_pilon	277621	340881	9335.5	4465
EOG090C000M	Complete	tig00000162_pilon_pilon	4651732	4709038	8683.8	4224
EOG090C000O	Complete	tig00000247_pilon_pilon	1510876	1543042	8699.4	3994
EOG090C0012	Complete	tig00006248_pilon_pilon	162578	473774	8504.1	4017
EOG090C0013	Complete	tig00421954_pilon_pilon	238104	283279	4200.8	2197
EOG090C001G	Complete	tig00000277_pilon_pilon	157945	215703	7460.5	3744
EOG090C001H	Complete	tig00000098_pilon_pilon	2920441	2947455	4410.3	4660
EOG090C001I	Complete	tig00421957_pilon_pilon	886298	933924	5786.7	3851
EOG090C001K	Complete	tig00001920_pilon_pilon	196085	230274	8514.3	4099
EOG090C002C	Complete	tig00006087_pilon_pilon	329527	393298	6148.9	2949
EOG090C002E	Complete	tig00002318_pilon_pilon	112660	179226	6246.4	3193
EOG090C002F	Complete	tig00001365_pilon_pilon	864954	898279	3122.1	1959
EOG090C0039	Complete	tig00421997_pilon_pilon	472874	522280	5550.2	2726
EOG090C003B	Complete	tig00000208_pilon_pilon	5636515	5677705	3976.0	2372
EOG090C003E	Complete	tig00003037_pilon_pilon	81639	130125	4425.7	2639
EOG090C003K	Complete	tig00000268_pilon_pilon	4485073	4513870	3886.1	3153
EOG090C003L	Complete	tig00000919_pilon_pilon	1611795	1670045	4525.2	2561
EOG090C003P	Complete	tig00005934_pilon_pilon	6387160	6483203	3182.6	2337
EOG090C003R	Complete	tig00006057_pilon_pilon	1376021	1430490	5419.1	2615
EOG090C003T	Complete	tig00000364_pilon_pilon	2369422	2454314	3646.5	2578
EOG090C003V	Complete	tig00001861_pilon_pilon	191400	206631	1251.4	839
EOG090C003X	Complete	tig00001158_pilon_pilon	13202	42486	4142.4	2972
EOG090C0044	Missing
EOG090C0045	Complete	tig00006175_pilon_pilon	752078	769817	1682.9	1165
EOG090C004I	Complete	tig00000098_pilon_pilon	417270	471250	5270.9	2539
EOG090C0051	Complete	tig00421997_pilon_pilon	1420954	1465280	4747.7	2363
EOG090C005E	Complete	tig00000277_pilon_pilon	1140773	1228947	4748.3	2205
EOG090C005G	Complete	tig00006057_pilon_pilon	798855	831391	4889.6	2283
EOG090C005H	Complete	tig00000148_pilon_pilon	2944752	2960111	2398.9	1764
EOG090C005N	Complete	tig00005934_pilon_pilon	3694198	3733577	4490.3	2061
EOG090C005U	Complete	tig00000761_pilon_pilon	979938	1070232	4587.1	2364
EOG090C0060	Complete	tig00006024_pilon_pilon	5595211	5611688	4121.3	2328
EOG090C0062	Complete	tig00001380_pilon_pilon	1067916	1086176	5546.4	2268
EOG090C0064	Complete	tig00006203_pilon_pilon	600903	630878	3191.2	1629
EOG090C0067	Complete	tig00000102_pilon_pilon	4672962	4699606	3669.4	2280
EOG090C0069	Complete	tig00006087_pilon_pilon	423237	452710	3603.7	1981
EOG090C006E	Complete	tig00000593_pilon_pilon	2889861	2916972	3891.1	2181
EOG090C006L	Complete	tig00421976_pilon_pilon	483771	510466	3796.7	1879
EOG090C006S	Complete	tig00001365_pilon_pilon	1200875	1239684	2640.3	2219
EOG090C006T	Complete	tig00000617_pilon_pilon	289450	325980	3835.7	1855
EOG090C006Y	Complete	tig00000233_pilon_pilon	725921	769845	5051.1	2429
EOG090C006Z	Complete	tig00006557_pilon_pilon	179917	205365	3323.6	2050
EOG090C0070	Complete	tig00006465_pilon_pilon	866580	894473	4228.3	1996
EOG090C0071	Complete	tig00006019_pilon_pilon	2305808	2326740	3817.2	1908
EOG090C007A	Complete	tig00001938_pilon_pilon	369880	416774	3853.4	1890
EOG090C007N	Complete	tig00001279_pilon_pilon	432273	450042	1965.9	1068
EOG090C007O	Complete	tig00003693_pilon_pilon	119579	138405	2058.4	1314
EOG090C007V	Duplicated	tig00000608_pilon_pilon	236950	308249	3217.3	1738
EOG090C007V	Duplicated	tig00005917_pilon_pilon	298000	404878	2844.7	1613
EOG090C007Y	Complete	tig00000102_pilon_pilon	935716	1041253	4044.7	2017
EOG090C007Z	Complete	tig00006283_pilon_pilon	2410963	2431295	2921.3	1870
EOG090C0087	Complete	tig00006019_pilon_pilon	2789703	2805282	2365.4	1498
EOG090C008I	Complete	tig00006049_pilon_pilon	1024413	1061511	2355.9	1571
EOG090C008K	Complete	tig00000208_pilon_pilon	2726095	2739362	3048.8	2553
EOG090C008M	Complete	tig00001250_pilon_pilon	1330963	1370475	2736.6	1617
EOG090C008V	Complete	tig00000098_pilon_pilon	744215	789642	2902.9	2367
EOG090C008X	Complete	tig00000102_pilon_pilon	3001782	3027614	3782.5	1821
EOG090C008Y	Complete	tig00000813_pilon_pilon	462625	495661	3807.8	1897
EOG090C008Z	Complete	tig00005997_pilon_pilon	1198273	1250363	3767.6	1771
EOG090C0099	Complete	tig00000020_pilon_pilon	3930942	3983346	3118.1	1594
EOG090C009C	Complete	tig00006051_pilon_pilon	1372829	1404996	3575.5	1831
EOG090C009J	Complete	tig00000277_pilon_pilon	881507	966766	2723.8	1552
EOG090C009Q	Complete	tig00006876_pilon_pilon	523708	595737	3561.3	1865
EOG090C009W	Complete	tig00000563_pilon_pilon	2800638	2813120	1066.5	637
EOG090C00A0	Complete	tig00000229_pilon_pilon	954	42483	2720.0	1320
EOG090C00AD	Complete	tig00006557_pilon_pilon	561	32246	3054.6	1581
EOG090C00AG	Complete	tig00000325_pilon_pilon	401879	431736	2716.0	1826
EOG090C00AN	Complete	tig00422008_pilon_pilon	176454	209332	3058.5	1827
EOG090C00AQ	Complete	tig00006140_pilon_pilon	2168524	2229351	2036.8	1576
EOG090C00AV	Complete	tig00002160_pilon_pilon	30	80814	1439.0	1189
EOG090C00B1	Complete	tig00000102_pilon_pilon	2953895	2994320	1778.4	1591
EOG090C00B3	Complete	tig00002320_pilon_pilon	216579	250775	1562.9	1922
EOG090C00BD	Complete	tig00006057_pilon_pilon	2275288	2299354	2951.6	1967
EOG090C00BE	Complete	tig00000247_pilon_pilon	3070506	3083174	2149.9	1613
EOG090C00BG	Complete	tig00002868_pilon_pilon	57256	89007	3540.6	1802
EOG090C00BJ	Complete	tig00006465_pilon_pilon	50768	105368	1649.1	1564
EOG090C00BK	Complete	tig00000743_pilon_pilon	715175	730153	3638.5	1773
EOG090C00BM	Complete	tig00000098_pilon_pilon	3971230	4057891	2313.4	1199
EOG090C00BS	Complete	tig00422091_pilon_pilon	311113	344119	2491.9	1415
EOG090C00BT	Complete	tig00006019_pilon_pilon	1973616	1986077	3140.0	1683
EOG090C00BU	Complete	tig00000109_pilon_pilon	3059987	3126263	2573.9	1628
EOG090C00BW	Complete	tig00006049_pilon_pilon	2068527	2142488	2685.2	1433
EOG090C00BX	Complete	tig00001016_pilon_pilon	879857	935298	2204.2	1571
EOG090C00C0	Complete	tig00006270_pilon_pilon	470667	521608	3599.7	1805
EOG090C00C4	Complete	tig00006059_pilon_pilon	1994938	2050071	2841.5	1548
EOG090C00C8	Complete	tig00006024_pilon_pilon	934875	989767	2466.9	1322
EOG090C00C9	Complete	tig00000020_pilon_pilon	1985418	2048128	2015.8	1471
EOG090C00CC	Complete	tig00005898_pilon_pilon	1044787	1112931	2346.8	1610
EOG090C00CG	Complete	tig00001278_pilon_pilon	111891	134265	2220.2	1472
EOG090C00CI	Complete	tig00006861_pilon_pilon	1587774	1609275	3201.7	1504
EOG090C00CK	Complete	tig00001114_pilon_pilon	134864	186697	3038.1	1633
EOG090C00CL	Complete	tig00006283_pilon_pilon	1297688	1334141	3770.2	1758
EOG090C00CO	Complete	tig00005940_pilon_pilon	944796	1003077	2744.8	1460
EOG090C00CU	Complete	tig00000919_pilon_pilon	37109	46901	1785.8	1591
EOG090C00D5	Complete	tig00000239_pilon_pilon	3642506	3691789	3660.0	1763
EOG090C00D6	Complete	tig00005950_pilon_pilon	4033167	4080268	3153.3	1546
EOG090C00DB	Complete	tig00000268_pilon_pilon	1764298	1786942	2263.9	1477
EOG090C00DE	Complete	tig00001921_pilon_pilon	142567	170559	2950.0	1636
EOG090C00DG	Complete	tig00421972_pilon_pilon	1779713	1801594	1155.9	1827
EOG090C00DK	Complete	tig00000102_pilon_pilon	2749658	2813091	3267.9	1614
EOG090C00DO	Complete	tig00000330_pilon_pilon	3446305	3476328	2171.9	1518
EOG090C00DS	Complete	tig00006328_pilon_pilon	600354	658217	2360.0	1515
EOG090C00DT	Complete	tig00000290_pilon_pilon	2839196	2863263	2125.6	1163
