# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_raw_racon2_pilon1.fasta -o flye_raw_racon2_pilon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_75_pilon	11514078	11550772	2022.1	1229
EOG090C000L	Complete	scaffold_1658_pilon	3494667	3557824	9232.6	4465
EOG090C000M	Complete	scaffold_2048_pilon	1281087	1359324	4747.0	3857
EOG090C000O	Complete	scaffold_961_pilon	3763763	3795958	8567.8	3994
EOG090C0012	Complete	contig_1694_pilon	291561	600505	8499.8	4017
EOG090C0013	Complete	contig_164_pilon	25211300	25256478	4173.6	2217
EOG090C001G	Complete	contig_246_pilon	17787349	17860384	5942.1	3337
EOG090C001H	Complete	scaffold_248_pilon	21257875	21298239	3408.9	4236
EOG090C001I	Complete	contig_246_pilon	1810593	1858173	6019.3	3941
EOG090C001K	Complete	contig_110_pilon	2830008	2882376	7528.8	4090
EOG090C002C	Complete	scaffold_180_pilon	4440138	4516656	6149.1	2949
EOG090C002E	Complete	contig_431_pilon	886140	950013	6245.9	3195
EOG090C002F	Complete	contig_1628_pilon	626952	675577	2844.4	2678
EOG090C0039	Complete	contig_742_pilon	2808531	2858044	5172.1	2590
EOG090C003B	Complete	contig_1628_pilon	1253812	1314607	573.5	3030
EOG090C003E	Complete	contig_110_pilon	2317093	2362290	4583.0	2600
EOG090C003K	Complete	contig_596_pilon	4176375	4194909	3904.5	3191
EOG090C003L	Complete	contig_75_pilon	5179082	5234070	2615.8	1576
EOG090C003P	Complete	scaffold_30_pilon	10928500	11024557	3137.6	2365
EOG090C003R	Complete	contig_617_pilon	20753852	20808308	5420.5	2613
EOG090C003T	Complete	scaffold_2861_pilon	1317085	1401669	3500.6	2560
EOG090C003V	Complete	scaffold_217_pilon	23117868	23141733	1249.1	839
EOG090C003X	Complete	contig_155_pilon	11316560	11345847	4101.4	2970
EOG090C0044	Complete	scaffold_2840_pilon	2066228	2118860	4392.0	2382
EOG090C0045	Complete	contig_1670_pilon	1045183	1062921	1682.9	1165
EOG090C004I	Complete	scaffold_248_pilon	18751846	18805854	5238.4	2539
EOG090C0051	Complete	contig_742_pilon	3759099	3803437	4738.7	2363
EOG090C005E	Complete	contig_246_pilon	16790196	16877493	4742.0	2205
EOG090C005G	Complete	contig_617_pilon	20176421	20208942	4889.6	2283
EOG090C005H	Complete	scaffold_168_pilon	7521659	7554643	1895.6	1641
EOG090C005N	Complete	scaffold_30_pilon	8238176	8277574	4487.7	2061
EOG090C005U	Complete	contig_1549_pilon	1075224	1171427	4583.2	2353
EOG090C0060	Complete	contig_1781_pilon	5256611	5272980	3979.3	2328
EOG090C0062	Complete	contig_155_pilon	4406808	4425076	5346.6	2268
EOG090C0064	Complete	scaffold_248_pilon	2684471	2714451	3162.8	1629
EOG090C0067	Complete	scaffold_1121_pilon	25844072	25873846	3757.1	2439
EOG090C0069	Complete	scaffold_180_pilon	4392886	4422365	3599.8	1981
