# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_corrected.fasta -o flye_corrected -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_20	11334124	11395694	1109.2	1163
EOG090C000L	Missing
EOG090C000M	Fragmented	contig_851	645071	673666	3121.9	2302
EOG090C000O	Missing
EOG090C0012	Complete	contig_743	34285	342386	5148.6	3886
EOG090C0013	Missing
EOG090C001G	Complete	contig_426	699470	740058	2361.5	2099
EOG090C001H	Fragmented	contig_458	9692552	9706362	917.4	789
EOG090C001I	Fragmented	contig_195	1156538	1168885	1289.0	1206
EOG090C001K	Fragmented	contig_318	215846	224954	908.0	541
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1162	646916	680088	980.0	855
EOG090C0039	Complete	contig_253	2759725	2809198	1400.6	1570
EOG090C003B	Fragmented	contig_137	12843874	12855036	1606.5	1405
EOG090C003E	Complete	contig_318	729845	753271	1297.1	1146
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_20	5152804	5155945	1224.1	782
EOG090C003P	Missing
EOG090C003R	Complete	contig_190	20506913	20545686	3542.0	2372
EOG090C003T	Complete	contig_22	257370	336909	2667.6	2536
EOG090C003V	Complete	contig_407	1400987	1426106	606.8	639
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	contig_72	769140	771375	1283.4	883
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	contig_426	1644988	1680025	1573.8	1106
EOG090C005G	Complete	contig_190	19929336	19979480	2508.1	2233
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	contig_307	231297	334649	2342.0	1936
EOG090C0060	Complete	contig_1203	272102	288511	2744.0	2082
EOG090C0062	Missing
EOG090C0064	Complete	scaffold_380	90322	118826	2324.6	1620
EOG090C0067	Missing
EOG090C0069	Fragmented	contig_674	2396464	2414346	1683.0	1470
EOG090C006E	Complete	contig_559	6545415	6572768	2260.1	1883
EOG090C006L	Complete	contig_790	370503	397468	1871.3	1520
EOG090C006S	Complete	contig_1162	302555	361124	747.6	1560
EOG090C006T	Missing
EOG090C006Y	Complete	contig_423	1478366	1514683	2577.9	1961
EOG090C006Z	Complete	scaffold_8	18932302	18975286	881.9	812
EOG090C0070	Missing
EOG090C0071	Missing
EOG090C007A	Missing
EOG090C007N	Complete	scaffold_8	16869766	16884612	901.1	900
EOG090C007O	Missing
EOG090C007V	Duplicated	contig_10	12739818	12820878	1937.3	1174
EOG090C007V	Duplicated	contig_190	17679045	17784284	1993.7	1511
EOG090C007Y	Missing
EOG090C007Z	Complete	contig_197	4781959	4815003	1322.6	1069
EOG090C0087	Complete	contig_318	3640342	3659594	1038.3	1153
EOG090C008I	Missing
EOG090C008K	Complete	contig_137	9920500	9931836	1591.3	1651
EOG090C008M	Complete	contig_23	1321860	1390947	1380.7	1280
EOG090C008V	Complete	contig_458	7516616	7524328	1088.6	787
EOG090C008X	Missing
EOG090C008Y	Complete	contig_747	659575	706855	1884.8	1581
EOG090C008Z	Complete	contig_704	573075	758697	1822.1	1771
EOG090C0099	Complete	contig_129	11294350	11351276	1753.5	1371
EOG090C009C	Fragmented	scaffold_152	5126520	5147408	893.3	780
EOG090C009J	Complete	contig_426	1381063	1475912	1241.8	1151
EOG090C009Q	Complete	contig_264	11800156	11861516	1965.6	1680
EOG090C009W	Fragmented	scaffold_8	15827560	15842221	457.6	482
EOG090C00A0	Complete	contig_905	3195468	3290269	1763.0	1298
EOG090C00AD	Missing
EOG090C00AG	Missing
EOG090C00AN	Fragmented	contig_674	812972	833467	1112.3	819
EOG090C00AQ	Missing
EOG090C00AV	Complete	contig_745	422448	507051	710.0	1116
EOG090C00B1	Complete	contig_583	5242929	5265684	1081.5	1051
EOG090C00B3	Complete	scaffold_8	19628670	19676531	908.2	1362
EOG090C00BD	Missing
EOG090C00BE	Missing
EOG090C00BG	Missing
EOG090C00BJ	Complete	contig_873	3226114	3280145	925.6	1269
EOG090C00BK	Fragmented	contig_559	2388107	2400052	1780.0	1298
EOG090C00BM	Complete	contig_458	10719438	10842833	1179.8	1054
EOG090C00BS	Complete	contig_583	9517924	9532386	1524.8	1156
EOG090C00BT	Complete	contig_318	2845201	2853489	771.7	499
EOG090C00BU	Complete	contig_70	4974482	5030688	1135.1	1018
EOG090C00BW	Complete	scaffold_152	2083241	2149282	1563.3	1419
EOG090C00BX	Missing
EOG090C00C0	Complete	contig_288	615559	664285	1908.9	1564
