# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/pilon.fasta -o canu_racon2_pilon -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	tig00006032_pilon	1573913	1629520	2791.2	1962
EOG090C000L	Complete	tig00006322_pilon	277638	340937	9322.2	4464
EOG090C000M	Complete	tig00000162_pilon	4654012	4711314	8641.9	4221
EOG090C000O	Complete	tig00000247_pilon	1512584	1544785	8699.3	3995
EOG090C0012	Complete	tig00006248_pilon	162588	473874	8454.2	4017
EOG090C0013	Complete	tig00421954_pilon	238004	283187	4175.4	2197
EOG090C001G	Complete	tig00000277_pilon	158107	205445	4891.2	2572
EOG090C001H	Complete	tig00000098_pilon	2894603	2941094	3192.7	3800
EOG090C001I	Complete	tig00421957_pilon	881933	933979	5667.2	3811
EOG090C001K	Complete	tig00001920_pilon	170455	249228	7055.0	4036
EOG090C002C	Complete	tig00006087_pilon	329747	365899	4776.0	2263
EOG090C002E	Complete	tig00002318_pilon	112705	179283	6246.4	3193
EOG090C002F	Complete	tig00001365_pilon	854612	899348	3116.7	1949
EOG090C0039	Complete	tig00421997_pilon	475988	525566	5529.9	2711
EOG090C003B	Complete	tig00000208_pilon	5647691	5688902	3537.9	2128
EOG090C003E	Complete	tig00003037_pilon	81648	130200	4196.4	2598
EOG090C003K	Missing
EOG090C003L	Complete	tig00000015_pilon	8183863	8270270	2357.0	2222
EOG090C003P	Complete	tig00005934_pilon	6394184	6490238	3182.6	2337
EOG090C003R	Complete	tig00006057_pilon	1376769	1431232	5418.0	2640
EOG090C003T	Complete	tig00000364_pilon	2378796	2463692	3555.2	2565
EOG090C003V	Complete	tig00001861_pilon	182054	225598	1011.8	838
EOG090C003X	Complete	tig00001158_pilon	13203	42488	4140.1	2974
EOG090C0044	Missing
EOG090C0045	Duplicated	tig00006175_pilon	766458	770415	1374.1	979
EOG090C0045	Duplicated	tig00006175_pilon	777597	778980	1190.8	678
EOG090C004I	Complete	tig00000098_pilon	419878	493105	4601.7	2534
EOG090C0051	Complete	tig00421997_pilon	1424205	1468532	4699.1	2363
EOG090C005E	Complete	tig00000277_pilon	1141208	1229633	4705.7	2205
EOG090C005G	Complete	tig00006057_pilon	799108	831642	4794.2	2283
EOG090C005H	Complete	tig00000148_pilon	2943893	2960988	2357.9	1760
EOG090C005N	Complete	tig00005934_pilon	3699442	3740104	4413.5	2061
EOG090C005U	Complete	tig00000761_pilon	982967	1073230	4534.1	2364
EOG090C0060	Complete	tig00006024_pilon	5596479	5612960	4121.3	2328
EOG090C0062	Complete	tig00001380_pilon	1068623	1086890	5073.1	2129
EOG090C0064	Complete	tig00006203_pilon	600973	630955	3154.3	1608
EOG090C0067	Complete	tig00000102_pilon	4673696	4700335	3583.1	2264
EOG090C0069	Complete	tig00006087_pilon	423503	452979	3603.7	1981
EOG090C006E	Complete	tig00000593_pilon	2890302	2917417	3881.0	2181
EOG090C006L	Complete	tig00421976_pilon	483816	510499	3703.4	1879
EOG090C006S	Complete	tig00001365_pilon	1202033	1240850	2544.4	1689
EOG090C006T	Complete	tig00000617_pilon	274028	325910	3651.4	1852
EOG090C006Y	Complete	tig00000233_pilon	718194	771341	4685.9	2319
EOG090C006Z	Complete	tig00006557_pilon	179982	205439	3316.3	2050
EOG090C0070	Complete	tig00006465_pilon	867635	895541	4152.3	1996
EOG090C0071	Complete	tig00006019_pilon	2305287	2343107	3083.5	1807
EOG090C007A	Missing
EOG090C007N	Complete	tig00001279_pilon	432217	449988	1964.2	1068
EOG090C007O	Complete	tig00003693_pilon	105788	138454	2054.7	1305
EOG090C007V	Duplicated	tig00000608_pilon	236953	308275	3216.6	1742
EOG090C007V	Duplicated	tig00005917_pilon	298548	405380	2843.1	1613
EOG090C007Y	Fragmented	tig00000102_pilon	994057	1059627	3037.5	1749
EOG090C007Z	Complete	tig00006283_pilon	2412535	2432848	2891.7	1870
EOG090C0087	Complete	tig00006019_pilon	2789181	2804760	2362.5	1498
EOG090C008I	Complete	tig00006049_pilon	1029354	1066466	2327.3	1594
EOG090C008K	Complete	tig00000208_pilon	2726756	2749605	2908.6	2437
EOG090C008M	Complete	tig00001250_pilon	1330921	1370446	2734.1	1617
EOG090C008V	Complete	tig00000098_pilon	749081	792301	1949.1	1945
EOG090C008X	Complete	tig00000102_pilon	3001742	3027544	3782.5	1821
EOG090C008Y	Complete	tig00000813_pilon	468541	510603	3128.1	1709
EOG090C008Z	Complete	tig00005997_pilon	1198380	1256034	3529.9	1735
EOG090C0099	Complete	tig00000020_pilon	3938957	3990830	3118.1	1600
EOG090C009C	Complete	tig00006051_pilon	1373113	1405226	3497.8	1824
