# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_trimmed_racon2_pilon1.fa -o wtdbg2_trimmed_racon2_pilon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	ctg11_pilon	4624748	4661287	2349.6	1536
EOG090C000L	Complete	ctg207_pilon	379227	442491	9201.4	4465
EOG090C000M	Complete	ctg16_pilon	4646603	4703908	7848.6	4003
EOG090C000O	Complete	ctg59_pilon	1135266	1167446	8343.5	3963
EOG090C0012	Complete	ctg457_pilon	42648	339896	8407.8	4009
EOG090C0013	Complete	ctg365_pilon	237853	283029	4200.8	2197
EOG090C001G	Complete	ctg1_pilon	157894	206385	5455.3	2900
EOG090C001H	Complete	ctg32_pilon	2894417	2950921	3501.1	3021
EOG090C001I	Complete	ctg1_pilon	16175793	16193551	3587.9	2418
EOG090C001K	Complete	ctg19_pilon	5551562	5589670	8515.1	4099
EOG090C002C	Complete	ctg84_pilon	1428981	1492952	6144.8	2949
EOG090C002E	Complete	ctg271_pilon	115561	191155	6117.0	3193
EOG090C002F	Complete	ctg159_pilon	620796	668355	2970.1	2728
EOG090C0039	Complete	ctg98_pilon	1112956	1150659	4529.3	2231
EOG090C003B	Complete	ctg10_pilon	6362938	6404095	3832.2	2197
EOG090C003E	Complete	ctg19_pilon	5046079	5091257	4771.7	2703
EOG090C003K	Complete	ctg12_pilon	961038	988619	3690.6	3065
EOG090C003L	Complete	ctg249_pilon	500518	519459	3505.6	2062
EOG090C003P	Missing
EOG090C003R	Complete	ctg71_pilon	1436887	1491417	5420.6	2614
EOG090C003T	Complete	ctg167_pilon	232408	314141	3443.1	2591
EOG090C003V	Complete	ctg27_pilon	1405459	1428219	1248.2	839
EOG090C003X	Complete	ctg87_pilon	4430698	4463995	4394.5	3135
EOG090C0044	Fragmented	ctg1249_pilon	22266	35820	2571.1	1208
EOG090C0045	Complete	ctg202_pilon	1062661	1064243	1335.9	770
EOG090C004I	Complete	ctg32_pilon	419756	473790	5265.6	2539
EOG090C0051	Complete	ctg98_pilon	170016	214353	4681.1	2363
EOG090C005E	Complete	ctg1_pilon	1140885	1229455	4701.7	2205
EOG090C005G	Complete	ctg71_pilon	859780	892305	4886.0	2283
EOG090C005H	Duplicated	ctg113_pilon	1952235	1975153	1965.5	1588
EOG090C005H	Duplicated	ctg4_pilon	2174066	2189417	2191.8	1734
EOG090C005N	Complete	ctg2_pilon	3656438	3697080	4487.5	2061
EOG090C005U	Complete	ctg55_pilon	1890051	1980314	4536.5	2364
EOG090C0060	Complete	ctg7_pilon	2329105	2345467	4099.4	2328
EOG090C0062	Complete	ctg240_pilon	434203	455493	5245.9	2182
EOG090C0064	Complete	ctg80_pilon	2782951	2830675	2201.8	1621
