# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_trimmed_racon2.fasta -o flye_trimmed_racon2 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_386	4599920	4693768	1414.1	1549
EOG090C000L	Missing
EOG090C000M	Fragmented	contig_299	4144483	4163014	2308.1	1783
EOG090C000O	Missing
EOG090C0012	Complete	contig_486	40650	341375	5297.0	3870
EOG090C0013	Missing
EOG090C001G	Complete	contig_378	17114522	17142743	2450.1	2310
EOG090C001H	Complete	contig_1477	2916119	2944069	1791.5	1947
EOG090C001I	Missing
EOG090C001K	Fragmented	scaffold_612	5561555	5570679	1833.6	1000
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1188	1933238	1966449	860.7	864
EOG090C0039	Complete	contig_419	2625976	2662634	2859.4	1934
EOG090C003B	Fragmented	contig_702	965612	1002142	1258.4	1074
EOG090C003E	Complete	scaffold_612	5025390	5070743	1808.0	1302
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_421	447745	450659	723.0	577
EOG090C003P	Missing
EOG090C003R	Complete	contig_1337	61936	227927	2694.9	2167
EOG090C003T	Missing
EOG090C003V	Complete	contig_391	114276	120370	421.0	516
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	contig_1225	116663	118297	771.4	487
EOG090C0045	Duplicated	contig_1225	121357	122932	860.8	486
EOG090C0045	Duplicated	contig_1225	122976	125068	771.5	476
EOG090C0045	Duplicated	contig_1225	125292	127026	742.9	507
EOG090C0045	Duplicated	contig_1225	127071	128453	761.6	455
EOG090C004I	Complete	contig_1477	421686	480548	3379.3	2247
EOG090C0051	Missing
EOG090C005E	Complete	contig_378	16103402	16205528	2454.6	2160
EOG090C005G	Fragmented	contig_1016	2608144	2620244	1530.0	877
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Missing
EOG090C0060	Fragmented	contig_85	3287749	3301095	1665.9	1324
EOG090C0062	Fragmented	contig_1449	216748	234341	3312.2	1823
EOG090C0064	Complete	contig_1479	92349	127359	2193.8	1396
EOG090C0067	Missing
EOG090C0069	Complete	contig_1618	1117612	1177475	1601.6	1966
EOG090C006E	Complete	contig_708	6968620	6996007	1960.9	1828
EOG090C006L	Complete	contig_571	370836	388882	2254.2	1674
EOG090C006S	Complete	contig_1188	2263000	2286069	941.3	1042
EOG090C006T	Missing
EOG090C006Y	Complete	contig_149	2171263	2207306	2892.1	2084
EOG090C006Z	Complete	contig_440	2501193	2531290	1637.0	1894
EOG090C0070	Missing
EOG090C0071	Fragmented	scaffold_612	2567505	2590567	1351.4	945
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Missing
EOG090C007V	Complete	contig_284	724969	823752	1953.1	1417
EOG090C007Y	Missing
EOG090C007Z	Complete	contig_35	11426	40106	1660.9	1497
EOG090C0087	Complete	scaffold_612	2097079	2121015	824.7	1079
EOG090C008I	Missing
EOG090C008K	Complete	contig_702	3894805	3911301	2162.6	2218
EOG090C008M	Complete	contig_1658	15171	69497	1235.3	1235
EOG090C008V	Complete	contig_1477	748508	791014	1018.2	1112
EOG090C008X	Fragmented	contig_309	4471120	4499751	2796.6	1657
EOG090C008Y	Complete	contig_129	434014	470357	2143.0	1608
EOG090C008Z	Complete	contig_1230	2360440	2399672	1287.1	1050
EOG090C0099	Complete	contig_133	3964573	4032585	1278.6	1473
EOG090C009C	Complete	contig_60	2884079	2896089	1371.0	938
EOG090C009J	Complete	contig_378	16369514	16444926	1286.2	1141
EOG090C009Q	Complete	contig_23	522995	586130	1971.1	1717
EOG090C009W	Fragmented	contig_736	438505	450190	503.7	573
EOG090C00A0	Missing
EOG090C00AD	Missing
EOG090C00AG	Missing
EOG090C00AN	Fragmented	contig_603	914775	926016	824.4	499
EOG090C00AQ	Missing
EOG090C00AV	Complete	contig_1679	346339	432699	809.7	1119
EOG090C00B1	Complete	contig_309	4434989	4454944	1038.7	774
EOG090C00B3	Complete	contig_1232	490008	525990	900.8	1718
EOG090C00BD	Missing
EOG090C00BE	Missing
EOG090C00BG	Missing
EOG090C00BJ	Complete	contig_24	5969665	6022566	1073.2	1021
EOG090C00BK	Fragmented	contig_708	2784258	2796324	1728.5	1291
EOG090C00BM	Complete	contig_1477	3964375	4087843	1405.9	1134
EOG090C00BS	Complete	contig_309	141767	168113	1337.6	975
EOG090C00BT	Duplicated	scaffold_612	2909329	2917546	833.4	581
EOG090C00BT	Duplicated	scaffold_612	2917807	2922888	769.6	764
EOG090C00BU	Complete	contig_28	3056193	3140577	1704.4	1445
EOG090C00BW	Missing
EOG090C00BX	Complete	scaffold_1884	915834	957288	1280.9	1472
EOG090C00C0	Complete	contig_785	427486	502795	2118.0	1638
EOG090C00C4	Missing
EOG090C00C8	Complete	contig_85	7879681	7950989	1155.4	1310
EOG090C00C9	Missing
EOG090C00CC	Missing
EOG090C00CG	Fragmented	contig_883	122328	133040	733.8	679
EOG090C00CI	Complete	contig_1176	4848251	4875656	1753.0	1222
EOG090C00CK	Fragmented	contig_258	79873	96751	1048.1	818
EOG090C00CL	Complete	contig_35	1120812	1147244	1375.0	954
EOG090C00CO	Missing
EOG090C00CU	Missing
EOG090C00D5	Fragmented	contig_377	5098116	5105277	913.5	540
EOG090C00D6	Complete	contig_1126	2189558	2232135	2570.2	1528
EOG090C00DB	Missing
EOG090C00DE	Fragmented	contig_1305	270745	277232	1058.7	753
EOG090C00DG	Missing
EOG090C00DK	Missing
EOG090C00DO	Missing
EOG090C00DS	Complete	contig_548	170982	239795	1128.7	1402
EOG090C00DT	Fragmented	contig_209	913705	926399	725.4	557
EOG090C00E5	Missing
EOG090C00E9	Missing
EOG090C00EE	Complete	contig_1230	2780291	2825990	1194.3	981
EOG090C00EF	Missing
EOG090C00EH	Missing
EOG090C00EJ	Missing
EOG090C00EZ	Complete	contig_378	10750837	10845031	1885.5	1484
EOG090C00F8	Fragmented	contig_89	450040	461198	1011.7	634
EOG090C00F9	Complete	contig_28	4896313	4910220	1850.6	1442
EOG090C00FC	Missing
EOG090C00FE	Complete	contig_10	294383	325466	1492.6	1319
EOG090C00FF	Missing
EOG090C00FL	Complete	contig_708	2018434	2050104	877.2	781
EOG090C00FM	Complete	contig_1029	1470392	1512613	1648.9	1427
EOG090C00FR	Missing
EOG090C00FV	Complete	contig_212	61973	314421	2472.2	1494
EOG090C00G4	Missing
EOG090C00G5	Complete	contig_325	3193658	3294562	1581.0	1258
EOG090C00G7	Complete	contig_492	878738	926052	613.7	826
EOG090C00GJ	Complete	contig_1375	1312507	1430645	1361.7	1338
EOG090C00GK	Missing
EOG090C00GT	Missing
EOG090C00GU	Missing
EOG090C00GY	Complete	contig_320	4388050	4407585	1587.4	1309
EOG090C00H2	Complete	scaffold_1113	1465374	1503503	1148.1	790
EOG090C00H3	Complete	contig_1667	100559	232757	1813.8	1324
EOG090C00HJ	Missing
EOG090C00HL	Complete	contig_1305	283117	304611	1045.4	880
EOG090C00HT	Complete	scaffold_1113	3746389	3783504	1448.7	1149
EOG090C00I8	Missing
EOG090C00IB	Complete	contig_1656	628713	729230	1787.7	1055
EOG090C00IC	Missing
EOG090C00IS	Missing
EOG090C00IU	Complete	contig_429	2446978	2472242	1121.5	751
EOG090C00IV	Missing
EOG090C00J0	Complete	contig_433	2803582	2840164	514.4	762
EOG090C00J3	Complete	contig_662	138128	167357	855.8	1110
EOG090C00J7	Complete	contig_478	204596	301989	2125.8	1533
EOG090C00JA	Complete	contig_1138	106303	130551	1514.6	1090
EOG090C00JE	Complete	scaffold_260	1313731	1362345	901.9	1117
EOG090C00JJ	Missing
EOG090C00JS	Complete	contig_345	165327	415047	2065.2	1376
EOG090C00JT	Complete	contig_1322	2267372	2295924	555.3	576
EOG090C00JW	Missing
EOG090C00JZ	Missing
EOG090C00K4	Complete	contig_91	1690486	1709247	709.0	582
EOG090C00KD	Missing
EOG090C00KH	Missing
EOG090C00KM	Complete	contig_1234	5241757	5283197	1751.4	1315
EOG090C00L3	Complete	contig_385	357313	395484	1229.5	1391
EOG090C00L8	Complete	contig_975	563250	676933	672.6	728
EOG090C00LE	Complete	contig_298	668211	712669	989.6	714
EOG090C00LH	Missing
EOG090C00LI	Complete	contig_378	12668019	12702915	792.7	708
EOG090C00LL	Fragmented	contig_420	24431	50655	1304.4	1017
EOG090C00LS	Complete	contig_355	981720	1050350	1592.0	1212
EOG090C00LU	Complete	contig_54	847899	861324	1397.3	1035
EOG090C00LV	Complete	contig_1184	282163	317652	617.9	577
EOG090C00M4	Complete	contig_888	950879	1000591	997.4	830
EOG090C00M5	Complete	contig_511	563493	603939	873.4	983
EOG090C00M8	Missing
EOG090C00MJ	Duplicated	contig_1561	666297	735906	1235.1	1432
EOG090C00MJ	Duplicated	contig_1639	235398	289379	1299.2	1236
EOG090C00MK	Fragmented	contig_135	764158	779401	403.7	273
EOG090C00MN	Complete	contig_209	4268877	4331455	902.3	986
EOG090C00MO	Complete	contig_1477	797379	818817	1068.6	1265
EOG090C00MS	Complete	contig_1307	267202	279605	784.9	822
EOG090C00N3	Missing
EOG090C00NB	Complete	contig_736	6763785	6804821	1111.3	991
EOG090C00NG	Complete	contig_378	16511686	16551691	1335.5	1223
EOG090C00NO	Complete	contig_1669	713296	748927	1178.9	880
EOG090C00NQ	Complete	contig_1814	555251	598129	1151.5	1044
EOG090C00NS	Duplicated	contig_1359	121690	184189	1425.9	1288
EOG090C00NS	Duplicated	scaffold_612	2166508	2223940	1444.5	1261
EOG090C00O6	Missing
EOG090C00O9	Complete	contig_98	7565520	7619395	1159.5	1021
EOG090C00OJ	Complete	contig_1925	249405	300478	995.9	833
EOG090C00OS	Missing
EOG090C00OW	Complete	contig_309	4582597	4636902	1296.3	1167
EOG090C00OX	Missing
EOG090C00P0	Missing
EOG090C00P3	Missing
EOG090C00P7	Missing
EOG090C00P8	Complete	contig_85	7667691	7758698	1367.5	1032
EOG090C00PE	Complete	contig_60	6174486	6216725	1151.4	1145
EOG090C00PH	Complete	contig_335	774179	798263	1051.8	781
EOG090C00PQ	Complete	contig_440	2570767	2611382	1325.8	1511
EOG090C00PT	Complete	contig_209	3832138	3853851	1681.7	1113
EOG090C00PW	Missing
EOG090C00PX	Fragmented	contig_1520	811580	831198	1369.7	964
EOG090C00Q2	Missing
