# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_corrected.ctg_racon2.fa -o wtdbg2_corrected_racon2 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Missing
EOG090C000L	Complete	ctg48	1932651	2014787	4749.7	3925
EOG090C000M	Fragmented	ctg13	6582403	6594426	1902.7	1183
EOG090C000O	Missing
EOG090C0012	Complete	ctg301	42762	338965	5526.9	3858
EOG090C0013	Complete	ctg13	14643441	14674407	2025.5	1259
EOG090C001G	Complete	ctg33	2888544	2909521	2127.4	2110
EOG090C001H	Complete	ctg20	9686969	9729570	2316.5	2343
EOG090C001I	Missing
EOG090C001K	Fragmented	ctg9	5587406	5594182	1183.0	634
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	ctg17	1766444	1814011	1426.7	1237
EOG090C0039	Complete	ctg101	1117095	1156555	1563.7	906
EOG090C003B	Fragmented	ctg6	3487156	3509107	810.8	805
EOG090C003E	Complete	ctg9	5032798	5091644	1892.9	1809
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg12	5866970	5872987	1313.2	907
EOG090C003P	Missing
EOG090C003R	Complete	ctg56	6409175	6459827	2848.8	2183
EOG090C003T	Complete	ctg151	1337708	1420389	2810.9	2496
EOG090C003V	Complete	ctg36	1785919	1797203	593.7	650
EOG090C003X	Fragmented	ctg94	1692750	1712561	1256.9	1901
EOG090C0044	Complete	ctg203	506849	552436	2761.3	2219
EOG090C0045	Complete	ctg176	233915	235535	963.3	556
EOG090C004I	Fragmented	ctg20	7203725	7262608	2834.3	2038
EOG090C0051	Missing
EOG090C005E	Complete	ctg33	1873591	1974594	1995.4	2108
EOG090C005G	Complete	ctg56	7006893	7029082	2242.2	1526
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg114	516768	617330	2095.6	2123
EOG090C0060	Complete	ctg2	12703177	12719570	2228.4	1820
EOG090C0062	Fragmented	ctg44	1677807	1693318	3449.4	1874
EOG090C0064	Complete	ctg30	77138	111817	2165.2	1391
EOG090C0067	Missing
EOG090C0069	Complete	ctg27	7827964	7887339	1590.2	1971
EOG090C006E	Complete	ctg149	275364	302703	1778.9	1573
EOG090C006L	Fragmented	ctg235	610277	622784	1274.1	1020
EOG090C006S	Missing
EOG090C006T	Missing
EOG090C006Y	Complete	ctg31	16442702	16480030	2945.5	2095
EOG090C006Z	Complete	ctg96	46490	65473	1036.0	1164
EOG090C0070	Complete	ctg87	897389	914277	2060.1	1550
EOG090C0071	Fragmented	ctg9	2602977	2610854	1288.0	795
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Missing
EOG090C007V	Duplicated	ctg2	11571432	11652741	1998.3	1138
EOG090C007V	Duplicated	ctg56	9199351	9322739	2058.6	1534
EOG090C007Y	Missing
EOG090C007Z	Complete	ctg466	11827	31701	1709.3	1669
EOG090C0087	Complete	ctg9	2114035	2124509	675.5	865
EOG090C008I	Missing
EOG090C008K	Complete	ctg6	539274	587371	1271.1	1522
EOG090C008M	Fragmented	ctg288	264311	282315	606.7	433
EOG090C008V	Complete	ctg20	7528934	7536430	826.2	1159
EOG090C008X	Fragmented	ctg18	3185163	3213756	2973.8	1688
EOG090C008Y	Missing
EOG090C008Z	Complete	ctg5	9524305	9584029	1932.3	1742
EOG090C0099	Complete	ctg123	1042559	1110519	1250.7	1453
EOG090C009C	Complete	ctg24	7004406	7032145	1695.2	1294
EOG090C009J	Complete	ctg33	2135476	2229863	1597.9	1246
EOG090C009Q	Complete	ctg43	2157697	2235677	2259.7	1742
