# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_raw_racon1.fasta -o flye_raw_racon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_75	11486983	11520779	1666.8	1872
EOG090C000L	Missing
EOG090C000M	Fragmented	contig_164	17146339	17164445	2589.3	1892
EOG090C000O	Complete	scaffold_961	3758908	3792842	5009.2	3447
EOG090C0012	Complete	contig_1694	291639	633247	5452.0	3900
EOG090C0013	Complete	contig_164	25197952	25228670	1971.4	1228
EOG090C001G	Complete	contig_246	17788546	17806236	1974.2	1770
EOG090C001H	Complete	scaffold_248	21270066	21290974	1530.5	1615
EOG090C001I	Fragmented	contig_246	1807740	1822599	1543.9	1473
EOG090C001K	Fragmented	contig_110	2853090	2858147	835.4	512
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1628	634307	658650	604.1	625
EOG090C0039	Fragmented	contig_742	2825854	2841272	1039.2	651
EOG090C003B	Fragmented	contig_198	16228890	16251557	902.0	844
EOG090C003E	Complete	contig_110	2319896	2358025	2253.9	1964
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_75	5225322	5228474	765.4	525
EOG090C003P	Missing
EOG090C003R	Missing
EOG090C003T	Complete	scaffold_2861	1315837	1400685	2691.0	2304
EOG090C003V	Complete	scaffold_217	23114458	23143922	401.9	516
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	contig_1670	1065578	1068386	999.8	588
EOG090C0045	Duplicated	contig_1670	1068431	1069814	1145.2	645
EOG090C004I	Fragmented	scaffold_248	18762081	18799843	2905.9	2071
EOG090C0051	Missing
EOG090C005E	Complete	contig_246	16764745	16872093	1832.9	1985
EOG090C005G	Fragmented	contig_617	20152635	20173984	1586.2	995
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Fragmented	contig_1549	1093222	1124090	2055.3	1323
EOG090C0060	Fragmented	contig_1781	5256509	5269304	1622.3	1313
EOG090C0062	Fragmented	contig_155	4408506	4425012	3348.0	1908
EOG090C0064	Fragmented	scaffold_248	2697550	2710982	1588.8	1019
EOG090C0067	Missing
EOG090C0069	Missing
EOG090C006E	Complete	contig_125	6886188	6913174	1700.4	1515
EOG090C006L	Complete	contig_242	10450240	10462396	1404.3	1066
EOG090C006S	Complete	contig_1628	281338	342293	798.5	1536
EOG090C006T	Missing
EOG090C006Y	Complete	contig_443	220782	257910	2914.5	2097
EOG090C006Z	Complete	scaffold_961	6612801	6642085	1733.7	1847
EOG090C0070	Complete	scaffold_2007	860416	877182	2072.7	1547
EOG090C0071	Fragmented	contig_155	129285	156506	1284.4	890
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Missing
EOG090C007V	Duplicated	contig_1781	4122112	4202899	2152.1	1554
EOG090C007V	Duplicated	contig_617	17887795	18007352	2294.9	1507
EOG090C007Y	Missing
EOG090C007Z	Fragmented	scaffold_1625	4764944	4790748	987.9	695
EOG090C0087	Complete	contig_155	602454	623777	939.5	1098
EOG090C008I	Complete	contig_71	20131175	20162206	1334.1	1208
EOG090C008K	Missing
EOG090C008M	Complete	scaffold_308	2452880	2519597	1037.3	1159
EOG090C008V	Complete	scaffold_248	19087526	19094317	696.9	960
EOG090C008X	Fragmented	scaffold_1121	27485932	27505973	2615.6	1665
EOG090C008Y	Fragmented	contig_358	2182669	2207261	1405.9	945
