# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_corrected.ctg_racon2.fa.masurca.fa -o wtdbg2_corrected_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Missing
EOG090C000L	Complete	ctg48	1930881	2013540	6091.1	4211
EOG090C000M	Fragmented	ctg13	6585658	6594993	2036.0	1568
EOG090C000O	Complete	ctg74	1069182	1096439	5476.1	3265
EOG090C0012	Complete	ctg301	101904	339140	5113.8	3810
EOG090C0013	Complete	ctg13	14632363	14661740	1719.8	1248
EOG090C001G	Complete	ctg33	2888571	2912821	3065.1	2372
EOG090C001H	Complete	ctg20	9709878	9714135	591.5	1212
EOG090C001I	Missing
EOG090C001K	Fragmented	ctg9	5583275	5590299	975.2	570
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	ctg17	1766206	1813794	1881.9	1506
EOG090C0039	Complete	ctg101	1120476	1157677	2765.3	1853
EOG090C003B	Complete	ctg6	3499869	3519155	2025.5	1662
EOG090C003E	Complete	ctg9	5046314	5094587	3400.0	2466
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg12	5867594	5882639	1359.2	920
EOG090C003P	Missing
EOG090C003R	Complete	ctg56	6412954	6465792	3905.6	2487
EOG090C003T	Complete	ctg151	1338070	1419503	3090.6	2561
EOG090C003V	Complete	ctg36	1771030	1808430	467.3	506
EOG090C003X	Complete	ctg94	1692649	1714313	2039.7	2738
EOG090C0044	Complete	ctg203	511935	552362	3282.1	2296
EOG090C0045	Duplicated	ctg176	230754	232821	986.6	676
EOG090C0045	Duplicated	ctg176	234832	236926	1129.4	646
EOG090C004I	Fragmented	ctg20	7202813	7261677	3670.8	2102
EOG090C0051	Complete	ctg101	169358	215272	3092.7	2150
EOG090C005E	Complete	ctg33	1873421	1974449	2442.0	2178
EOG090C005G	Complete	ctg56	7006049	7038424	3351.2	1990
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg72	1914205	1991778	3003.2	2054
EOG090C0060	Fragmented	ctg2	12705848	12718637	1637.5	1316
EOG090C0062	Complete	ctg44	1674293	1696816	4340.2	2210
EOG090C0064	Complete	ctg30	77089	107028	2185.6	1272
EOG090C0067	Fragmented	ctg18	4855413	4880009	2481.7	1941
EOG090C0069	Missing
EOG090C006E	Complete	ctg149	275324	302724	2340.8	1862
EOG090C006L	Fragmented	ctg235	612585	622967	1313.1	950
EOG090C006S	Fragmented	ctg17	1461491	1469849	669.5	486
EOG090C006T	Complete	ctg159	1540025	1576431	2555.1	1839
EOG090C006Y	Complete	ctg31	16445363	16482622	3718.3	2270
