# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_trimmed.ctg_racon1.fa -o wtdbg2_trimmed_racon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	ctg11	4609871	4645379	1758.1	2112
EOG090C000L	Missing
EOG090C000M	Fragmented	ctg16	4650857	4671583	2551.8	1736
EOG090C000O	Complete	ctg59	1130474	1162509	5117.8	3491
EOG090C0012	Complete	ctg457	42739	338842	5787.4	3867
EOG090C0013	Complete	ctg365	237149	268229	1971.7	1585
EOG090C001G	Complete	ctg1	187982	219684	2205.4	2159
EOG090C001H	Complete	ctg32	2925651	2940470	1253.1	1290
EOG090C001I	Missing
EOG090C001K	Fragmented	ctg19	5576233	5577684	548.6	285
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	ctg159	616352	640375	1591.1	1581
EOG090C0039	Complete	ctg98	1124111	1179932	1812.8	1821
EOG090C003B	Fragmented	ctg10	6345874	6378244	986.1	934
EOG090C003E	Complete	ctg19	5035256	5080235	2773.4	2402
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg249	509257	510327	593.6	297
EOG090C003P	Missing
EOG090C003R	Complete	ctg71	1434372	1475517	2931.2	2079
EOG090C003T	Complete	ctg167	233571	313029	2475.0	2399
EOG090C003V	Complete	ctg27	1404121	1427012	427.9	546
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	ctg202	1057427	1060699	614.2	564
EOG090C0045	Duplicated	ctg202	1061072	1063409	627.8	420
EOG090C0045	Duplicated	ctg202	1063714	1065446	610.8	373
EOG090C0045	Duplicated	ctg202	1065484	1067643	638.8	495
EOG090C004I	Fragmented	ctg32	421301	464991	3037.3	2124
EOG090C0051	Missing
EOG090C005E	Fragmented	ctg1	1205738	1226943	824.8	625
EOG090C005G	Missing
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg55	1881760	1986235	2060.6	1902
EOG090C0060	Fragmented	ctg7	2325996	2339332	1570.0	1283
EOG090C0062	Fragmented	ctg240	434402	450091	3274.6	1841
EOG090C0064	Complete	ctg80	2775090	2805009	1633.4	1094
EOG090C0067	Missing
EOG090C0069	Missing
EOG090C006E	Missing
EOG090C006L	Fragmented	ctg76	3069534	3081435	1235.4	1007
EOG090C006S	Missing
EOG090C006T	Missing
EOG090C006Y	Complete	ctg60	1412090	1436183	2384.4	1740
EOG090C006Z	Complete	ctg510	173912	208031	1521.9	1677
EOG090C0070	Fragmented	ctg39	1865064	1875278	1407.2	1096
EOG090C0071	Missing
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Missing
EOG090C007V	Complete	ctg133	732154	858691	2230.5	1462
EOG090C007Y	Missing
EOG090C007Z	Fragmented	ctg87	632239	646271	1309.8	1053
EOG090C0087	Complete	ctg19	2110594	2129860	1079.1	1208
EOG090C008I	Complete	ctg17	6915108	6929824	1119.3	905
EOG090C008K	Fragmented	ctg10	3427057	3436559	1112.9	1265
EOG090C008M	Complete	ctg120	1311825	1380028	1120.0	1196
EOG090C008V	Complete	ctg32	748876	790179	1068.0	1000
EOG090C008X	Missing
EOG090C008Y	Complete	ctg99	1707241	1744323	2364.1	1816
EOG090C008Z	Complete	ctg161	203839	365449	1547.0	1687
EOG090C0099	Complete	ctg21	5855258	5917788	1773.9	1536
EOG090C009C	Complete	ctg17	2884444	2901461	1419.0	982
EOG090C009J	Complete	ctg1	874218	965204	1620.4	1426
EOG090C009Q	Complete	ctg136	524015	595052	1899.5	1749
EOG090C009W	Fragmented	ctg20	442182	449700	451.3	455
EOG090C00A0	Missing
EOG090C00AD	Missing
EOG090C00AG	Complete	ctg14	1882776	1906191	1045.9	1531
EOG090C00AN	Complete	ctg184	175908	196448	1203.6	1133
EOG090C00AQ	Missing
EOG090C00AV	Complete	ctg329	342121	432089	827.8	1073
EOG090C00B1	Complete	ctg23	2839425	2875752	922.3	712
EOG090C00B3	Complete	ctg355	246134	294362	796.4	1461
EOG090C00BD	Complete	ctg71	2327678	2350109	1523.1	1740
EOG090C00BE	Missing
EOG090C00BG	Complete	ctg122	1182267	1214503	2032.2	1552
EOG090C00BJ	Complete	ctg39	1039538	1094231	842.5	736
EOG090C00BK	Missing
EOG090C00BM	Complete	ctg32	3959429	4082830	1351.6	1023
EOG090C00BS	Complete	ctg92	221697	253042	1438.2	1030
EOG090C00BT	Complete	ctg19	2921421	2934859	1509.4	1263
EOG090C00BU	Fragmented	ctg31	5734025	5758643	650.1	499
EOG090C00BW	Missing
EOG090C00BX	Fragmented	ctg5	7928968	7954923	1351.9	1255
EOG090C00C0	Complete	ctg262	421409	482583	1800.2	1660
EOG090C00C4	Missing
EOG090C00C8	Complete	ctg7	6912130	6983259	1186.0	1310
EOG090C00C9	Missing
EOG090C00CC	Missing
EOG090C00CG	Complete	ctg121	96518	133326	1098.6	1315
EOG090C00CI	Complete	ctg22	4606922	4621388	1072.4	739
EOG090C00CK	Fragmented	ctg192	168262	185101	970.7	863
EOG090C00CL	Complete	ctg87	1456813	1480668	1149.6	951
EOG090C00CO	Missing
EOG090C00CU	Missing
EOG090C00D5	Fragmented	ctg6	3612255	3624091	924.3	682
EOG090C00D6	Complete	ctg35	4495772	4542713	1520.7	1425
EOG090C00DB	Missing
EOG090C00DE	Fragmented	ctg557	39709	50094	1277.0	916
EOG090C00DG	Missing
EOG090C00DK	Missing
EOG090C00DO	Missing
EOG090C00DS	Missing
EOG090C00DT	Complete	ctg4	7402198	7448459	1701.5	1587
EOG090C00E5	Missing
EOG090C00E9	Fragmented	ctg89	1293924	1299181	1089.9	745
EOG090C00EE	Missing
EOG090C00EF	Missing
EOG090C00EH	Missing
EOG090C00EJ	Missing
EOG090C00EZ	Complete	ctg1	6474313	6568720	1772.6	1500
EOG090C00F8	Complete	ctg53	437976	473534	1743.8	1277
EOG090C00F9	Complete	ctg31	3926927	3940176	1487.1	1136
EOG090C00FC	Missing
EOG090C00FE	Missing
EOG090C00FF	Missing
EOG090C00FL	Complete	ctg66	4129212	4172680	1086.7	769
EOG090C00FM	Complete	ctg123	33604	132651	1536.7	1306
EOG090C00FR	Missing
EOG090C00FV	Fragmented	ctg253	759790	770047	455.0	321
EOG090C00G4	Missing
EOG090C00G5	Complete	ctg13	3189177	3288760	1538.7	1253
EOG090C00G7	Complete	ctg155	771167	842929	1254.9	1282
EOG090C00GJ	Complete	ctg30	1312907	1416458	1135.1	1236
EOG090C00GK	Missing
EOG090C00GT	Missing
EOG090C00GU	Missing
EOG090C00GY	Missing
EOG090C00H2	Complete	ctg107	1470756	1510179	1192.6	790
EOG090C00H3	Complete	ctg228	930766	1052779	1837.3	1364
EOG090C00HJ	Fragmented	ctg31	2864649	2872922	987.3	968
EOG090C00HL	Complete	ctg557	54356	69929	1066.2	936
