# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_corrected_racon2_pilon1.fa -o wtdbg2_corrected_racon2_pilon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Missing
EOG090C000L	Complete	ctg48_pilon	1955159	2018408	9275.8	4469
EOG090C000M	Complete	ctg13_pilon	6588035	6640939	8636.8	4210
EOG090C000O	Complete	ctg74_pilon	1068369	1100528	7969.7	3794
EOG090C0012	Complete	ctg301_pilon	42925	340108	8003.8	4000
EOG090C0013	Complete	ctg13_pilon	14665972	14711151	4200.8	2197
EOG090C001G	Complete	ctg33_pilon	2891726	2949443	7242.1	3744
EOG090C001H	Complete	ctg20_pilon	9687413	9733923	3155.2	3606
EOG090C001I	Complete	ctg1_pilon	2096286	2143943	5823.7	3841
EOG090C001K	Complete	ctg9_pilon	5566797	5600971	8355.3	4099
EOG090C002C	Complete	ctg27_pilon	7925178	7989473	6149.2	2949
EOG090C002E	Complete	ctg124_pilon	906463	970586	6246.0	3195
EOG090C002F	Complete	ctg17_pilon	1770644	1818359	2969.4	2728
EOG090C0039	Complete	ctg101_pilon	1107153	1169282	3127.9	2153
EOG090C003B	Complete	ctg6_pilon	3486709	3527940	3660.3	2150
EOG090C003E	Complete	ctg9_pilon	5052463	5097644	4609.3	2628
EOG090C003K	Complete	ctg13_pilon	6366303	6395583	3241.2	3428
EOG090C003L	Complete	ctg30_pilon	4506344	4592734	2417.5	2326
EOG090C003P	Complete	ctg32_pilon	9338117	9434184	3146.4	2362
EOG090C003R	Complete	ctg56_pilon	6417381	6473821	4007.3	2533
EOG090C003T	Complete	ctg151_pilon	1337953	1419736	3473.9	2583
EOG090C003V	Complete	ctg36_pilon	1784532	1807294	1249.1	839
EOG090C003X	Complete	ctg94_pilon	1696689	1729977	4505.8	3205
EOG090C0044	Complete	ctg203_pilon	513276	565959	4581.9	2396
EOG090C0045	Duplicated	ctg176_pilon	232899	234282	1190.8	678
EOG090C0045	Duplicated	ctg176_pilon	235754	237137	1066.5	602
EOG090C0045	Duplicated	ctg176_pilon	237302	238647	1098.8	633
EOG090C004I	Complete	ctg20_pilon	7210300	7265633	5164.0	2540
EOG090C0051	Complete	ctg101_pilon	148079	207568	3393.5	2361
EOG090C005E	Complete	ctg33_pilon	1879288	1966511	4527.9	2125
EOG090C005G	Complete	ctg56_pilon	7018784	7058948	4662.0	2282
EOG090C005H	Complete	ctg8_pilon	2175457	2208455	1707.2	1590
EOG090C005N	Complete	ctg32_pilon	6689099	6728493	4487.6	2061
EOG090C005U	Complete	ctg72_pilon	1897895	1988204	4514.4	2364
EOG090C0060	Complete	ctg2_pilon	12736275	12752756	4121.3	2328
EOG090C0062	Complete	ctg44_pilon	1678928	1697193	5546.4	2268
EOG090C0064	Complete	ctg30_pilon	77332	107302	3191.2	1629
EOG090C0067	Complete	ctg18_pilon	4845049	4896876	3575.2	2329
EOG090C0069	Complete	ctg27_pilon	7865877	7895337	3603.7	1981
EOG090C006E	Complete	ctg149_pilon	277117	303662	3780.7	2125
EOG090C006L	Complete	ctg235_pilon	602166	633540	3799.9	1889
EOG090C006S	Complete	ctg17_pilon	1430934	1467947	2537.0	1694
EOG090C006T	Complete	ctg159_pilon	1539069	1581528	3708.4	1878
EOG090C006Y	Complete	ctg31_pilon	16487238	16529931	4912.2	2429
EOG090C006Z	Complete	ctg96_pilon	45095	62390	2343.8	1400
EOG090C0070	Complete	ctg87_pilon	892880	922584	4203.4	1996
