# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_trimmed.ctg_racon2.fa.masurca.fa -o wtdbg2_trimmed_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	ctg11	4613829	4649432	2410.9	2134
EOG090C000L	Complete	ctg207	360308	441037	6379.2	4288
EOG090C000M	Complete	ctg16	4647477	4689490	5354.8	3832
EOG090C000O	Complete	ctg59	1131790	1163412	5838.2	3484
EOG090C0012	Complete	ctg457	101973	338906	5287.4	3861
EOG090C0013	Complete	ctg365	208171	282308	2125.6	2301
EOG090C001G	Complete	ctg1	194232	212511	2469.3	1862
EOG090C001H	Complete	ctg32	2903209	2959519	1958.5	2658
EOG090C001I	Fragmented	ctg1	16157983	16170367	1514.7	1230
EOG090C001K	Fragmented	ctg19	5571660	5572550	605.2	291
EOG090C002C	Complete	ctg84	1420480	1505766	3525.4	2845
EOG090C002E	Fragmented	ctg271	115062	158949	3351.8	2115
EOG090C002F	Complete	ctg159	628240	645061	877.8	662
EOG090C0039	Complete	ctg98	1147880	1168824	1556.1	1000
EOG090C003B	Complete	ctg18	246530	266885	1501.4	1774
EOG090C003E	Complete	ctg19	5037693	5082536	3049.3	2330
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg249	507923	514053	1433.5	1018
EOG090C003P	Missing
EOG090C003R	Complete	ctg71	1435574	1476393	3750.5	2304
EOG090C003T	Complete	ctg167	231605	313079	3108.0	2479
EOG090C003V	Complete	ctg27	1413421	1427460	529.6	711
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	ctg202	1059041	1060836	687.8	455
EOG090C0045	Duplicated	ctg202	1065130	1067200	710.5	498
EOG090C0045	Duplicated	ctg202	1067247	1068926	797.4	502
EOG090C004I	Complete	ctg32	421098	472392	3653.8	2359
EOG090C0051	Missing
EOG090C005E	Complete	ctg1	1126528	1227546	2371.0	2140
EOG090C005G	Complete	ctg71	856874	889256	3609.2	2107
EOG090C005H	Complete	ctg4	2168973	2199602	1354.3	1358
EOG090C005N	Missing
EOG090C005U	Complete	ctg55	1896037	1984503	2936.1	2115
EOG090C0060	Fragmented	ctg7	2328134	2340883	1883.9	1314
EOG090C0062	Fragmented	ctg240	419761	450111	4136.6	2009
EOG090C0064	Complete	ctg80	2790652	2807492	2102.4	1352
EOG090C0067	Complete	ctg23	4559787	4589246	2541.1	2094
