# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_trimmed_racon2_pilon1.fasta -o flye_trimmed_racon2_pilon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_386_pilon	4660068	4692949	2280.0	1435
EOG090C000L	Complete	contig_502_pilon	386802	451298	9159.4	4451
EOG090C000M	Complete	contig_299_pilon	4131160	4188478	7761.8	4771
EOG090C000O	Complete	scaffold_485_pilon	1836891	1869058	8226.6	3925
EOG090C0012	Complete	contig_486_pilon	28687	337689	8113.3	3943
EOG090C0013	Complete	contig_646_pilon	104179	150932	4222.7	2593
EOG090C001G	Complete	contig_378_pilon	17147109	17204847	7329.5	3743
EOG090C001H	Complete	contig_1477_pilon	2890975	2947480	3296.9	2823
EOG090C001I	Complete	contig_378_pilon	1171804	1214965	4214.2	3185
EOG090C001K	Complete	scaffold_612_pilon	5540129	5574375	7774.3	3764
EOG090C002C	Complete	contig_1618_pilon	1197022	1261055	6149.2	2949
EOG090C002E	Complete	contig_291_pilon	115229	190868	6155.6	3193
EOG090C002F	Complete	contig_1188_pilon	1937978	1971305	3120.4	1959
EOG090C0039	Complete	contig_419_pilon	2628132	2677709	5321.0	2711
EOG090C003B	Complete	contig_702_pilon	962072	975603	3064.6	2000
EOG090C003E	Complete	scaffold_612_pilon	5031985	5077164	4728.1	2738
EOG090C003K	Complete	contig_1468_pilon	747821	776626	3905.2	3323
EOG090C003L	Complete	contig_421_pilon	391875	446902	2616.3	1578
EOG090C003P	Complete	contig_98_pilon	6374989	6472143	3028.3	2311
EOG090C003R	Complete	contig_1016_pilon	2001413	2055860	5419.3	2621
EOG090C003T	Complete	contig_91_pilon	237410	320494	3372.2	2524
EOG090C003V	Complete	contig_391_pilon	112818	135584	1249.8	839
EOG090C003X	Complete	contig_1586_pilon	13240	42522	3807.0	2864
EOG090C0044	Fragmented	contig_1735_pilon	21864	39364	2943.4	1405
EOG090C0045	Complete	contig_1225_pilon	120195	121746	1381.9	791
EOG090C004I	Complete	contig_1477_pilon	419845	473861	5240.2	2539
EOG090C0051	Complete	contig_419_pilon	3576619	3624911	4683.1	2363
EOG090C005E	Complete	contig_378_pilon	16135477	16222475	4709.4	2157
EOG090C005G	Complete	contig_1016_pilon	2582697	2640584	3815.6	2267
EOG090C005H	Complete	contig_993_pilon	390174	405533	2401.3	1764
EOG090C005N	Complete	contig_98_pilon	3687406	3728059	4487.5	2061
EOG090C005U	Complete	contig_1149_pilon	257254	353718	4550.9	2353
EOG090C0060	Complete	contig_85_pilon	3290963	3307356	4121.3	2328
EOG090C0062	Complete	contig_1449_pilon	214447	232711	5420.7	2237
EOG090C0064	Complete	contig_1479_pilon	92541	122511	3134.8	1629
EOG090C0067	Complete	contig_888_pilon	1138628	1168339	3500.4	2296
EOG090C0069	Complete	contig_1618_pilon	1137627	1167104	3603.7	1981
EOG090C006E	Complete	contig_708_pilon	6984226	7017857	2804.2	1666
EOG090C006L	Complete	contig_571_pilon	367373	394054	3717.6	1879
EOG090C006S	Complete	contig_1188_pilon	2274242	2313063	2471.5	1724
EOG090C006T	Complete	contig_1091_pilon	945583	988046	3736.8	1878
EOG090C006Y	Complete	contig_149_pilon	2165836	2197394	2510.7	1332
EOG090C006Z	Complete	contig_440_pilon	2510459	2527753	2343.8	1400
EOG090C0070	Complete	contig_24_pilon	5191565	5221239	4204.7	1996
EOG090C0071	Complete	scaffold_612_pilon	2581248	2606823	3556.2	1791
EOG090C007A	Complete	contig_1029_pilon	1162298	1213860	3444.9	1753
EOG090C007N	Complete	contig_440_pilon	435024	450213	1967.0	1068
EOG090C007O	Complete	contig_1094_pilon	20218	52879	1473.4	1038
EOG090C007V	Complete	contig_85_pilon	2157083	2228489	3215.5	1741
EOG090C007Y	Complete	contig_309_pilon	2403584	2509168	4040.7	2017
EOG090C007Z	Complete	contig_35_pilon	19963	40274	2851.0	1870
EOG090C0087	Complete	scaffold_612_pilon	2101740	2117319	2271.2	1497
EOG090C008I	Complete	contig_60_pilon	6952927	6990026	2236.2	1564
EOG090C008K	Complete	contig_702_pilon	3893738	3918838	2728.6	2376
EOG090C008M	Complete	contig_1658_pilon	15245	54784	2708.4	1598
EOG090C008V	Complete	contig_1477_pilon	747001	792437	2637.4	2332
EOG090C008X	Complete	contig_309_pilon	4469977	4495786	3777.7	1821
EOG090C008Y	Complete	contig_129_pilon	444038	471677	3656.0	1871
EOG090C008Z	Complete	contig_736_pilon	5437172	5489353	3760.2	1771
EOG090C0099	Complete	contig_133_pilon	3971558	4035348	3100.5	1579
EOG090C009C	Complete	contig_60_pilon	2875616	2925962	1913.8	1616
EOG090C009J	Complete	contig_378_pilon	16396195	16476251	2779.3	1554
EOG090C009Q	Complete	contig_23_pilon	523257	595410	3382.2	1795
EOG090C009W	Complete	contig_1393_pilon	181803	219805	762.2	612
EOG090C00A0	Complete	contig_993_pilon	3230340	3271968	2605.7	1275
EOG090C00AD	Complete	contig_440_pilon	2670070	2714860	3370.3	1755
EOG090C00AG	Complete	contig_769_pilon	268943	292821	2639.2	1663
EOG090C00AN	Complete	contig_603_pilon	875742	941005	2655.3	1614
EOG090C00AQ	Complete	contig_1297_pilon	80205	168480	2957.8	1615
EOG090C00AV	Complete	contig_1679_pilon	350606	434501	1254.0	1220
EOG090C00B1	Complete	contig_309_pilon	4439548	4475634	2220.7	1408
EOG090C00B3	Complete	contig_1232_pilon	493189	527462	1562.9	1922
EOG090C00BD	Complete	contig_1016_pilon	1136106	1157378	2951.5	1968
EOG090C00BE	Complete	scaffold_485_pilon	3395250	3407922	2125.2	1589
EOG090C00BG	Complete	contig_165_pilon	152871	184424	3751.5	1802
EOG090C00BJ	Complete	contig_24_pilon	5981538	6036174	1683.3	1717
EOG090C00BK	Complete	contig_708_pilon	2789652	2804623	3627.0	1769
EOG090C00BM	Complete	contig_1477_pilon	3971515	4058866	2305.0	1199
EOG090C00BS	Complete	contig_309_pilon	141226	168448	2492.5	1415
EOG090C00BT	Complete	scaffold_612_pilon	2911984	2924445	2947.4	1627
EOG090C00BU	Complete	contig_28_pilon	3066621	3132896	2574.3	1625
EOG090C00BW	Complete	contig_60_pilon	5868000	5913093	2198.7	1316
EOG090C00BX	Complete	scaffold_1884_pilon	888042	943447	2204.2	1571
EOG090C00C0	Complete	contig_785_pilon	428973	497631	3119.3	1802
EOG090C00C4	Complete	contig_756_pilon	1000357	1055426	2841.5	1548
EOG090C00C8	Complete	contig_85_pilon	7914608	7970273	2137.5	1271
EOG090C00C9	Complete	contig_133_pilon	2026766	2087359	2002.6	1471
EOG090C00CC	Complete	contig_1487_pilon	339065	392289	2356.1	1539
EOG090C00CG	Complete	contig_883_pilon	111831	134223	2217.2	1472
EOG090C00CI	Complete	contig_1176_pilon	4859554	4881054	3128.1	1504
EOG090C00CK	Complete	contig_258_pilon	65003	97737	3035.6	1633
EOG090C00CL	Complete	contig_35_pilon	1123415	1159516	3383.7	1646
EOG090C00CO	Complete	contig_378_pilon	11180070	11219192	2708.8	1462
EOG090C00CU	Complete	contig_421_pilon	2014633	2024427	1785.8	1591
EOG090C00D5	Complete	contig_320_pilon	3018945	3052701	2574.2	1557
EOG090C00D6	Complete	contig_1126_pilon	2191533	2238654	3153.2	1546
EOG090C00DB	Complete	contig_1468_pilon	3475167	3497770	2266.7	1444
EOG090C00DE	Complete	contig_1305_pilon	263547	283183	3050.0	1607
EOG090C00DG	Complete	contig_1394_pilon	286394	307992	1152.9	1822
EOG090C00DK	Complete	contig_309_pilon	4218004	4281467	3342.7	1614
EOG090C00DO	Complete	contig_320_pilon	3452064	3482118	2168.3	1518
EOG090C00DS	Complete	contig_548_pilon	167236	239974	2359.8	1511
EOG090C00DT	Complete	contig_209_pilon	913304	937370	2125.6	1163
EOG090C00E5	Complete	contig_1546_pilon	168140	184024	3159.4	1951
EOG090C00E9	Complete	contig_1114_pilon	827291	868508	1998.3	996
EOG090C00EE	Complete	contig_1230_pilon	2798873	2845546	3172.7	1676
EOG090C00EF	Complete	scaffold_131_pilon	907273	930224	2815.3	1777
EOG090C00EH	Duplicated	contig_269_pilon	134472	177115	2278.4	1331
EOG090C00EH	Duplicated	contig_511_pilon	611833	647588	2161.6	1375
EOG090C00EJ	Complete	contig_1244_pilon	212431	218844	1665.4	1120
EOG090C00EZ	Missing
EOG090C00F8	Complete	contig_89_pilon	451327	467459	2252.1	1211
EOG090C00F9	Missing
EOG090C00FC	Complete	contig_28_pilon	5436146	5458749	2820.1	1532
EOG090C00FE	Complete	contig_10_pilon	299568	324259	2655.4	1535
EOG090C00FF	Complete	contig_28_pilon	1950320	1976823	2895.1	1523
EOG090C00FL	Complete	contig_708_pilon	2025957	2071185	2322.4	1498
EOG090C00FM	Complete	contig_1029_pilon	1456321	1524775	2810.1	1477
EOG090C00FR	Missing
EOG090C00FV	Complete	contig_212_pilon	62207	308386	3104.6	1488
EOG090C00G4	Complete	contig_60_pilon	4232849	4264596	1771.2	1741
EOG090C00G5	Complete	contig_325_pilon	3198856	3302362	2121.5	1335
EOG090C00G7	Complete	contig_492_pilon	893548	950531	2173.1	1361
EOG090C00GJ	Missing
EOG090C00GK	Complete	contig_291_pilon	467780	560841	1903.7	1166
EOG090C00GT	Complete	scaffold_260_pilon	1706345	1747749	3342.6	1616
EOG090C00GU	Complete	contig_1184_pilon	585531	633780	3450.4	1824
EOG090C00GY	Complete	contig_320_pilon	4394400	4433370	1968.6	1467
EOG090C00H2	Complete	scaffold_1113_pilon	1479974	1500023	1565.1	792
EOG090C00H3	Complete	contig_1667_pilon	91653	223410	2814.4	1407
EOG090C00HJ	Complete	contig_28_pilon	5966877	5989660	2833.9	1217
EOG090C00HL	Complete	contig_1305_pilon	286071	301597	2109.3	1138
EOG090C00HT	Complete	scaffold_1113_pilon	3752237	3779697	2726.9	1463
EOG090C00I8	Complete	scaffold_260_pilon	1497078	1528320	2789.7	1345
EOG090C00IB	Complete	contig_1656_pilon	630066	715758	2640.8	1337
EOG090C00IC	Complete	contig_433_pilon	1165591	1227938	2801.1	1424
EOG090C00IS	Complete	contig_1807_pilon	1347908	1478615	5454.1	18837
EOG090C00IU	Complete	contig_429_pilon	2447066	2478909	3338.7	1600
EOG090C00IV	Complete	contig_1344_pilon	1161495	1215001	3110.0	1482
EOG090C00J0	Complete	contig_433_pilon	2825416	2847674	897.6	1026
EOG090C00J3	Complete	contig_662_pilon	140510	162123	1469.4	1202
EOG090C00J7	Complete	contig_478_pilon	200854	302408	2973.0	1584
EOG090C00JA	Complete	contig_1138_pilon	119752	147327	2625.3	1479
