# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_raw.ctg_racon2.fa.masurca.fa -o wtdbg2_raw_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	ctg32	8988537	9037665	3540.3	3463
EOG090C000L	Complete	ctg52	2902960	2970961	4473.2	3306
EOG090C000M	Complete	ctg192	361282	409676	2345.7	2685
EOG090C000O	Missing
EOG090C0012	Complete	ctg137	31506	268520	5628.9	4012
EOG090C0013	Complete	ctg16	6351342	6395919	3686.2	2089
EOG090C001G	Complete	ctg25	624258	648783	2959.1	2266
EOG090C001H	Complete	ctg17	9792825	9832400	1564.3	2200
EOG090C001I	Fragmented	ctg4	2116347	2131621	1460.3	1305
EOG090C001K	Fragmented	ctg1	6503704	6514829	1344.9	812
EOG090C002C	Fragmented	ctg20	6388918	6425802	3272.7	2159
EOG090C002E	Complete	ctg57	2382935	2464127	3705.5	2920
EOG090C002F	Complete	ctg34	7595220	7642490	1489.1	1182
EOG090C0039	Complete	ctg72	5018586	5040363	2084.6	1287
EOG090C003B	Complete	ctg34	7012298	7032017	1237.1	1601
EOG090C003E	Complete	ctg1	7008561	7070916	2069.2	1556
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg32	2757752	2772333	1378.2	902
EOG090C003P	Missing
EOG090C003R	Complete	ctg34	4063685	4233964	2553.1	2155
EOG090C003T	Complete	ctg62	1748806	1830266	2862.7	2559
EOG090C003V	Complete	ctg50	1743672	1768088	416.4	618
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	ctg58	2044832	2048054	691.5	691
EOG090C0045	Duplicated	ctg58	2049665	2051299	771.4	487
EOG090C0045	Duplicated	ctg58	2051355	2053247	660.4	466
EOG090C0045	Duplicated	ctg58	2053292	2055094	691.5	413
EOG090C0045	Duplicated	ctg58	2055369	2058539	694.1	534
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	ctg25	1563007	1663864	2188.3	2233
EOG090C005G	Fragmented	ctg13	2574629	2596218	1786.2	989
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg34	9700613	9786115	3350.1	2039
EOG090C0060	Complete	ctg8	6195318	6211733	3209.8	2115
EOG090C0062	Complete	ctg1	13781321	13834200	3308.6	2212
EOG090C0064	Complete	ctg9	7994998	8028240	1837.4	1525
EOG090C0067	Fragmented	ctg5	2624347	2653874	2210.8	1869
EOG090C0069	Fragmented	ctg51	104099	123134	1742.3	1441
EOG090C006E	Fragmented	ctg45	5793359	5804407	1552.9	978
EOG090C006L	Complete	ctg61	1353497	1377120	2453.3	1738
EOG090C006S	Complete	ctg34	7930918	7986317	976.6	1656
EOG090C006T	Complete	ctg101	3781821	3818231	2808.0	1763
EOG090C006Y	Complete	ctg83	2708274	2746649	3313.7	2103
EOG090C006Z	Missing
EOG090C0070	Complete	ctg20	3953223	3967018	2204.9	1498
EOG090C0071	Fragmented	ctg1	9490901	9502462	1521.1	1014
