# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_corrected.ctg_racon1.fa -o wtdbg2_corrected_racon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Missing
EOG090C000L	Missing
EOG090C000M	Fragmented	ctg13	6578729	6607351	2859.4	2270
EOG090C000O	Missing
EOG090C0012	Complete	ctg301	44795	338850	5416.9	3867
EOG090C0013	Complete	ctg13	14636661	14667348	2019.7	1202
EOG090C001G	Complete	ctg33	2887193	2905450	1828.4	1611
EOG090C001H	Fragmented	ctg20	9713534	9724941	565.0	523
EOG090C001I	Missing
EOG090C001K	Fragmented	ctg9	5586018	5591258	1257.5	712
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	ctg17	1772662	1811285	580.0	747
EOG090C0039	Complete	ctg101	1120006	1167511	1337.1	1577
EOG090C003B	Fragmented	ctg17	2329704	2388231	767.4	710
EOG090C003E	Complete	ctg9	5031833	5089572	1820.5	1677
EOG090C003K	Missing
EOG090C003L	Fragmented	ctg12	5862028	5868145	1232.6	903
EOG090C003P	Missing
EOG090C003R	Complete	ctg56	6415266	6448108	2766.4	2070
EOG090C003T	Complete	ctg151	1336988	1415349	2642.6	2499
EOG090C003V	Fragmented	ctg36	1780617	1789404	322.9	454
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	ctg176	234340	236245	961.5	547
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	ctg33	1872696	1973567	1822.9	2157
EOG090C005G	Fragmented	ctg56	7012946	7034784	1505.0	979
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg72	1889461	1994591	2288.7	1965
EOG090C0060	Fragmented	ctg2	12699065	12712413	1563.7	1277
EOG090C0062	Fragmented	ctg44	1675489	1691899	3687.0	2035
EOG090C0064	Fragmented	ctg30	81209	111720	1388.8	997
EOG090C0067	Missing
EOG090C0069	Missing
