# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/wtdbg2_raw.ctg_racon1.fa -o wtdbg2_raw_racon1 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	ctg32	8998414	9031951	1819.8	2143
EOG090C000L	Missing
EOG090C000M	Fragmented	ctg16	14407832	14436330	2691.8	2309
EOG090C000O	Missing
EOG090C0012	Complete	ctg137	24440	366555	5531.2	3879
EOG090C0013	Missing
EOG090C001G	Complete	ctg25	627776	648768	2312.4	1891
EOG090C001H	Fragmented	ctg17	9804849	9823647	797.8	710
EOG090C001I	Missing
EOG090C001K	Fragmented	ctg1	6499630	6508748	1350.7	715
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	ctg34	7598727	7639241	904.0	866
EOG090C0039	Complete	ctg72	4995625	5029958	1498.9	1098
EOG090C003B	Fragmented	ctg10	3490695	3513217	685.3	769
EOG090C003E	Complete	ctg1	7004682	7050838	2481.1	2055
EOG090C003K	Missing
EOG090C003L	Missing
EOG090C003P	Missing
EOG090C003R	Complete	ctg13	3149142	3203308	2827.8	1754
EOG090C003T	Complete	ctg62	1750274	1831057	2513.5	3273
EOG090C003V	Complete	ctg50	1756233	1768555	397.9	515
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	ctg58	2047383	2049575	880.2	553
EOG090C0045	Duplicated	ctg58	2049645	2051724	753.6	493
EOG090C004I	Fragmented	ctg17	7289897	7333269	2986.1	2183
EOG090C0051	Missing
EOG090C005E	Fragmented	ctg25	1582490	1604900	875.1	742
EOG090C005G	Fragmented	ctg13	2573673	2595044	1443.9	1018
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	ctg25	5298303	5328762	2510.8	2167
EOG090C0060	Fragmented	ctg8	6191345	6204689	1407.4	1165
EOG090C0062	Fragmented	ctg1	13794232	13812868	3154.5	1881
EOG090C0064	Fragmented	ctg9	7996679	8024941	1277.2	949
EOG090C0067	Missing
EOG090C0069	Fragmented	ctg20	6485612	6510537	1797.8	1463
EOG090C006E	Complete	ctg45	5776521	5803853	2124.6	1672
EOG090C006L	Missing
EOG090C006S	Missing
EOG090C006T	Missing
EOG090C006Y	Complete	ctg83	2707459	2742588	2801.1	2093
EOG090C006Z	Missing
EOG090C0070	Missing
EOG090C0071	Complete	ctg1	9474884	9499512	1741.5	1442
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Missing
EOG090C007V	Complete	ctg13	330153	412895	1698.0	1438
EOG090C007Y	Missing
EOG090C007Z	Missing
EOG090C0087	Fragmented	ctg1	9965292	9971349	448.9	391
EOG090C008I	Missing
EOG090C008K	Complete	ctg10	543849	591684	1263.5	1638
EOG090C008M	Fragmented	ctg114	1331455	1346290	431.0	378
EOG090C008V	Complete	ctg17	7618990	7630454	995.1	860
EOG090C008X	Fragmented	ctg5	4292099	4320691	2486.1	1635
EOG090C008Y	Complete	ctg12	5151454	5187752	1819.9	1597
EOG090C008Z	Duplicated	ctg23	9492482	9558412	1678.4	1660
EOG090C008Z	Duplicated	ctg6	15289543	15317544	1569.9	1160
EOG090C008Z	Duplicated	ctg99	961695	1131040	1669.5	1680
EOG090C0099	Complete	ctg21	5274434	5340517	1185.9	1402
EOG090C009C	Complete	ctg11	7646623	7674302	1856.3	1562
EOG090C009J	Complete	ctg25	1310540	1401620	1412.5	1323
EOG090C009Q	Duplicated	ctg21	17153677	17227326	1642.7	1708
EOG090C009Q	Duplicated	ctg5	1626127	1680725	1524.9	1722
EOG090C009W	Missing
EOG090C00A0	Complete	ctg3	4610188	4698767	1484.8	1408
EOG090C00AD	Missing
EOG090C00AG	Missing
EOG090C00AN	Fragmented	ctg51	1694898	1712107	919.1	638
EOG090C00AQ	Complete	ctg29	5027911	5125332	2167.3	1535
EOG090C00AV	Complete	ctg67	873821	966048	764.0	1066
EOG090C00B1	Complete	ctg5	4336860	4348912	945.7	668
