# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_raw_racon2.fasta.masurca.fa -o flye_raw_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_75	11464752	11522407	3739.2	3831
EOG090C000L	Fragmented	scaffold_1658	3514233	3550551	4428.9	2795
EOG090C000M	Complete	scaffold_2048	1282690	1351106	3316.7	3419
EOG090C000O	Missing
EOG090C0012	Complete	contig_1694	290999	528562	5626.4	3904
EOG090C0013	Missing
EOG090C001G	Complete	contig_246	17758131	17801444	2930.4	2308
EOG090C001H	Complete	scaffold_248	21231430	21295682	2129.9	2973
EOG090C001I	Fragmented	contig_246	1807181	1818044	1503.3	882
EOG090C001K	Fragmented	contig_110	2852843	2859620	1827.6	948
EOG090C002C	Complete	scaffold_180	4440873	4523364	3327.9	2782
EOG090C002E	Missing
EOG090C002F	Complete	contig_1628	634618	651453	776.9	638
EOG090C0039	Complete	contig_742	2803940	2843316	3290.4	1796
EOG090C003B	Complete	contig_198	16219104	16256028	1868.1	1672
EOG090C003E	Complete	contig_110	2312628	2357506	3588.0	2323
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_75	5219834	5225868	1495.5	1049
EOG090C003P	Missing
EOG090C003R	Complete	contig_617	20719005	20773243	3748.3	2107
EOG090C003T	Complete	scaffold_2861	1315324	1399776	3075.0	2532
EOG090C003V	Complete	scaffold_217	23106340	23117795	659.8	687
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	contig_1670	1072692	1075895	1611.1	1046
EOG090C004I	Complete	scaffold_248	18752353	18803642	3980.8	2352
EOG090C0051	Missing
EOG090C005E	Complete	contig_246	16762477	16863811	2748.3	2072
EOG090C005G	Fragmented	contig_617	20143076	20164702	1801.6	997
EOG090C005H	Complete	scaffold_168	7502982	7536976	1343.1	1394
EOG090C005N	Missing
EOG090C005U	Complete	contig_1549	1059411	1174206	2836.0	2102
EOG090C0060	Complete	contig_1781	5230855	5281213	1666.3	2234
EOG090C0062	Complete	contig_155	4403232	4423344	4388.3	2245
EOG090C0064	Complete	scaffold_248	2673066	2727219	1892.2	1576
EOG090C0067	Missing
EOG090C0069	Complete	scaffold_180	4382210	4425645	1935.1	1976
EOG090C006E	Complete	contig_125	6876619	6911192	1846.0	1260
EOG090C006L	Fragmented	contig_242	10445011	10453583	1089.1	644
EOG090C006S	Fragmented	contig_1628	316193	329045	838.4	691
EOG090C006T	Complete	contig_559	3314021	3350378	2662.3	1771
EOG090C006Y	Complete	contig_443	218046	263038	2666.9	1486
EOG090C006Z	Complete	scaffold_961	6610815	6639981	2034.6	1758
EOG090C0070	Fragmented	scaffold_2007	856363	872280	1445.5	1039
EOG090C0071	Fragmented	contig_155	128758	140309	1439.8	938
EOG090C007A	Missing
EOG090C007N	Missing
EOG090C007O	Complete	contig_2	6245176	6260880	1294.4	1082
EOG090C007V	Duplicated	contig_1781	4119324	4190266	2726.4	1639
EOG090C007V	Duplicated	contig_617	17886319	18000330	2597.6	1508
EOG090C007Y	Missing
EOG090C007Z	Complete	scaffold_1625	4776988	4815901	1481.0	1607
EOG090C0087	Complete	contig_155	589791	626589	1070.7	1300
EOG090C008I	Missing
EOG090C008K	Complete	contig_198	13305246	13321759	2610.9	2367
EOG090C008M	Complete	scaffold_308	2452537	2528312	2093.7	1344
EOG090C008V	Complete	scaffold_248	19077438	19084913	1187.4	1471
EOG090C008X	Complete	scaffold_1121	27465154	27493786	3176.7	1832
EOG090C008Y	Complete	contig_358	2170818	2232022	1999.8	1824
EOG090C008Z	Complete	scaffold_632	15675705	15752462	1999.5	1718
EOG090C0099	Complete	contig_122	6469814	6532355	1925.7	1389
EOG090C009C	Fragmented	contig_71	16067402	16074013	967.8	486
EOG090C009J	Complete	contig_246	17023549	17103503	1979.2	1429
EOG090C009Q	Complete	scaffold_99	4033041	4104838	2891.6	1825
EOG090C009W	Fragmented	scaffold_961	9746620	9758923	628.0	536
EOG090C00A0	Complete	scaffold_168	4599598	4701285	2463.5	1511
EOG090C00AD	Complete	scaffold_961	6414435	6481778	1894.8	1635
EOG090C00AG	Complete	scaffold_217	18799395	18818236	1646.8	1647
EOG090C00AN	Fragmented	scaffold_217	30227848	30229741	842.7	471
EOG090C00AQ	Complete	contig_198	5057701	5165977	2042.8	1521
EOG090C00AV	Complete	contig_321	1029878	1122179	748.1	1197
EOG090C00B1	Complete	scaffold_1121	27507094	27528651	1516.5	1023
EOG090C00B3	Complete	scaffold_961	5904693	5940984	1135.8	1762
EOG090C00BD	Complete	scaffold_217	35215671	35374728	1669.2	1873
EOG090C00BE	Missing
EOG090C00BG	Missing
EOG090C00BJ	Complete	scaffold_2007	38992	92197	1101.1	1042
EOG090C00BK	Fragmented	contig_125	2689550	2700984	1955.0	1223
EOG090C00BM	Complete	scaffold_248	22298152	22405498	1718.2	1168
EOG090C00BS	Complete	scaffold_2007	6316731	6361120	1076.2	1428
EOG090C00BT	Complete	contig_110	191079	208723	1032.5	598
EOG090C00BU	Complete	scaffold_341	1817703	1886540	1856.1	1557
EOG090C00BW	Missing
EOG090C00BX	Complete	scaffold_2001	1349508	1373854	1653.8	1315
EOG090C00C0	Complete	scaffold_13	589606	658539	2219.5	1643
EOG090C00C4	Complete	contig_508	996602	1056128	1921.8	1312
EOG090C00C8	Complete	contig_1781	9847709	9918889	1696.3	1304
EOG090C00C9	Missing
EOG090C00CC	Missing
EOG090C00CG	Fragmented	scaffold_835	7796808	7808195	879.7	759
EOG090C00CI	Complete	scaffold_961	22255029	22294811	1403.8	1384
EOG090C00CK	Complete	contig_2	4278307	4323408	1808.5	1550
EOG090C00CL	Complete	scaffold_1625	5925461	5946192	1521.9	939
EOG090C00CO	Complete	contig_246	11804688	11871334	1338.0	1182
EOG090C00CU	Fragmented	contig_75	6798319	6801874	541.5	649
EOG090C00D5	Complete	scaffold_632	18084382	18135841	1522.2	1506
EOG090C00D6	Complete	contig_617	13091756	13138651	2221.1	1508
EOG090C00DB	Complete	contig_596	6880063	6919949	1661.3	1453
EOG090C00DE	Fragmented	scaffold_2840	1760611	1769541	1490.2	926
EOG090C00DG	Missing
EOG090C00DK	Fragmented	scaffold_1121	27680705	27745180	2407.3	1517
EOG090C00DO	Missing
EOG090C00DS	Complete	scaffold_1639	7240320	7312847	1841.7	1097
EOG090C00DT	Complete	scaffold_168	12766492	12819609	1825.0	1549
EOG090C00E5	Missing
EOG090C00E9	Fragmented	scaffold_341	8337693	8340242	1142.2	679
EOG090C00EE	Complete	scaffold_632	16113764	16159921	2343.6	1604
