# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_trimmed_racon2.fasta.masurca.fa -o flye_trimmed_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_386	4630271	4686903	3692.5	4127
EOG090C000L	Fragmented	contig_502	417232	449123	4045.6	2471
EOG090C000M	Fragmented	contig_299	4141425	4162579	3635.9	2153
EOG090C000O	Complete	scaffold_485	1835914	1866309	5730.1	3612
EOG090C0012	Complete	contig_486	99441	336829	5017.5	3948
EOG090C0013	Complete	contig_646	103941	149003	2966.7	1969
EOG090C001G	Fragmented	contig_378	17113632	17122548	1842.7	1313
EOG090C001H	Complete	contig_1477	2915275	2957517	1583.8	2543
EOG090C001I	Fragmented	contig_378	1164123	1176444	1449.9	1465
EOG090C001K	Fragmented	scaffold_612	5560462	5565492	967.5	540
EOG090C002C	Fragmented	contig_1618	1227217	1257864	3605.5	2085
EOG090C002E	Missing
EOG090C002F	Complete	contig_1188	1918588	1966504	1265.8	1054
EOG090C0039	Complete	contig_419	2623416	2665747	2402.6	1335
EOG090C003B	Complete	contig_702	939518	965732	1488.2	1527
EOG090C003E	Complete	scaffold_612	5024333	5069717	3507.6	2537
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_421	447139	448992	1094.8	548
EOG090C003P	Missing
EOG090C003R	Complete	contig_1337	36246	218806	2819.2	2188
EOG090C003T	Complete	contig_91	236878	319666	2883.3	2399
EOG090C003V	Complete	contig_391	114246	137190	609.6	616
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	contig_1225	119872	121255	1190.8	678
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	contig_378	16099599	16200862	2831.1	2125
EOG090C005G	Complete	contig_1016	2596843	2629234	3674.8	2096
