# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/flye_raw.fasta -o flye_raw -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	contig_75	11501960	11558357	2898.8	3424
EOG090C000L	Missing
EOG090C000M	Fragmented	contig_164	17203380	17221670	2245.2	1732
EOG090C000O	Missing
EOG090C0012	Complete	contig_1694	294682	605022	5644.0	3904
EOG090C0013	Complete	contig_164	25288543	25318214	1635.7	1216
EOG090C001G	Complete	contig_246	17845364	17880025	1925.1	1600
EOG090C001H	Complete	scaffold_248	21360575	21368689	603.4	1133
EOG090C001I	Complete	contig_246	1826796	1842912	1209.5	2015
EOG090C001K	Fragmented	contig_110	2859189	2870360	1097.1	692
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	contig_1628	628280	665326	950.7	957
EOG090C0039	Complete	contig_742	2805365	2855019	1236.0	1519
EOG090C003B	Fragmented	contig_198	16299395	16309892	389.7	304
EOG090C003E	Complete	contig_110	2305603	2366930	1684.8	1767
EOG090C003K	Missing
EOG090C003L	Fragmented	contig_75	5234371	5237619	847.3	647
EOG090C003P	Missing
EOG090C003R	Fragmented	contig_617	20836255	20879597	2519.5	1677
EOG090C003T	Complete	scaffold_2861	1322322	1403519	2289.1	2301
EOG090C003V	Complete	scaffold_217	23215215	23238367	505.3	582
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	contig_1670	1068633	1070461	1266.2	738
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	contig_246	16840796	16944394	1919.6	2120
EOG090C005G	Missing
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Missing
EOG090C0060	Fragmented	contig_1781	5281495	5293652	1347.3	1065
EOG090C0062	Fragmented	contig_155	4423786	4442958	3547.2	2062
EOG090C0064	Complete	scaffold_248	2689303	2743358	1323.3	1595
EOG090C0067	Missing
EOG090C0069	Missing
EOG090C006E	Complete	contig_125	6909994	6939215	2045.2	1777
EOG090C006L	Complete	contig_242	10495403	10531244	1920.6	1465
EOG090C006S	Complete	contig_1628	280984	343690	902.6	1515
EOG090C006T	Complete	contig_559	3334989	3371531	2392.1	1630
EOG090C006Y	Complete	contig_443	210538	256376	2721.8	2036
EOG090C006Z	Complete	scaffold_961	6633272	6653908	1525.8	1383
