# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/esox_lucius_eu_canu.contigs_racon2.fasta -o canu_racon2 -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	tig00006032	1577732	1609494	1535.6	1942
EOG090C000L	Complete	tig00006322	269002	345518	5046.9	3968
EOG090C000M	Complete	tig00000162	4664374	4694745	3202.0	2683
EOG090C000O	Missing
EOG090C0012	Complete	tig00006248	162081	457893	5199.4	3846
EOG090C0013	Complete	tig00421954	237340	282339	2623.1	1969
EOG090C001G	Fragmented	tig00000277	203769	212686	1563.9	1342
EOG090C001H	Fragmented	tig00000098	2929357	2935458	618.0	577
EOG090C001I	Missing
EOG090C001K	Fragmented	tig00001920	197500	209100	646.5	416
EOG090C002C	Missing
EOG090C002E	Missing
EOG090C002F	Complete	tig00001365	863493	896710	875.7	911
EOG090C0039	Complete	tig00421997	478773	526640	1613.8	1148
EOG090C003B	Complete	tig00000208	5639292	5681235	1817.4	2063
EOG090C003E	Complete	tig00003037	80701	129583	1338.9	2021
EOG090C003K	Missing
EOG090C003L	Fragmented	tig00000919	1606111	1613803	1465.0	1192
EOG090C003P	Missing
EOG090C003R	Complete	tig00006028	61853	233636	2567.1	2278
EOG090C003T	Complete	tig00000364	2375605	2460404	2674.8	2484
EOG090C003V	Complete	tig00001861	181845	207583	410.3	569
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Duplicated	tig00006175	774302	775831	1007.1	572
EOG090C0045	Duplicated	tig00006175	775909	777975	930.9	571
EOG090C004I	Missing
EOG090C0051	Missing
EOG090C005E	Complete	tig00000277	1124297	1245731	1848.5	2032
EOG090C005G	Fragmented	tig00006057	796126	817502	1464.2	950
EOG090C005H	Missing
EOG090C005N	Missing
