# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/project/perch/esociformes_paper/assembly/stats/.snakemake/conda/7be74040/bin/run_busco -i data/esox_lucius_eu_canu.contigs_racon2.fasta.masurca.fa -o canu_racon2_polca -l output/.busco_lineages/actinopterygii_odb9/ -m genome -c 24 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	tig00006032	1576741	1632133	3670.4	3773
EOG090C000L	Fragmented	tig00006322	276910	304035	3830.6	2147
EOG090C000M	Fragmented	tig00000162	4656855	4685931	4008.1	2490
EOG090C000O	Complete	tig00000247	1513653	1539663	5854.2	3184
EOG090C0012	Complete	tig00006248	162204	494023	6879.4	4067
EOG090C0013	Complete	tig00421954	199723	282643	2424.7	2271
EOG090C001G	Complete	tig00000277	191814	212847	3164.5	2262
EOG090C001H	Complete	tig00000098	2929153	2933373	580.7	1359
EOG090C001I	Fragmented	tig00421957	919055	931128	1575.8	1162
EOG090C001K	Complete	tig00001920	186613	225833	4897.9	2528
EOG090C002C	Complete	tig00006087	310460	393249	3457.7	2879
EOG090C002E	Missing
EOG090C002F	Complete	tig00001365	856840	897434	2277.7	1865
EOG090C0039	Complete	tig00421997	463912	517418	2423.8	1640
EOG090C003B	Complete	tig00000208	5647429	5680829	2567.4	1948
EOG090C003E	Complete	tig00003037	81643	130879	3325.1	2475
EOG090C003K	Missing
EOG090C003L	Complete	tig00000919	1591555	1615432	2471.9	1813
EOG090C003P	Missing
EOG090C003R	Complete	tig00006057	1372817	1427041	3125.9	1849
EOG090C003T	Complete	tig00000364	2377891	2462795	3302.1	2533
EOG090C003V	Complete	tig00001861	181613	215659	557.1	740
EOG090C003X	Missing
EOG090C0044	Missing
EOG090C0045	Complete	tig00006175	774179	775562	1145.2	645
EOG090C004I	Complete	tig00000098	421466	480368	3898.1	2249
EOG090C0051	Missing
EOG090C005E	Complete	tig00000277	1125016	1228664	3088.1	2121
EOG090C005G	Complete	tig00006057	796783	848025	3101.1	2191
EOG090C005H	Missing
EOG090C005N	Missing
EOG090C005U	Complete	tig00000761	1001737	1071140	3760.5	2087
EOG090C0060	Fragmented	tig00006024	5583748	5597270	1947.2	1421
EOG090C0062	Fragmented	tig00001380	1061335	1082652	4158.1	1927
EOG090C0064	Complete	tig00006203	612361	647937	2718.1	1634
EOG090C0067	Missing
EOG090C0069	Duplicated	tig00001687	329706	349585	2037.7	1719
EOG090C0069	Duplicated	tig00006087	408018	451690	1927.6	1975
EOG090C006E	Complete	tig00000593	2885438	2915993	1921.9	1362
EOG090C006L	Complete	tig00421976	478055	509369	2078.3	1314
EOG090C006S	Complete	tig00001365	1187697	1242841	1151.7	1491
EOG090C006T	Fragmented	tig00000617	305174	325242	1820.5	1039
EOG090C006Y	Complete	tig00000233	724819	771362	2993.5	1724
EOG090C006Z	Complete	tig00006557	189657	205602	1080.9	753
EOG090C0070	Complete	tig00006465	876305	893799	2740.1	1679
EOG090C0071	Complete	tig00006019	2296227	2321779	2752.7	1675
EOG090C007A	Complete	tig00001938	372164	415854	2643.0	1783
EOG090C007N	Complete	tig00001279	418672	466544	1026.2	1007
EOG090C007O	Fragmented	tig00003693	129847	138433	1259.6	922
EOG090C007V	Duplicated	tig00000608	230982	307768	2220.8	1445
EOG090C007V	Duplicated	tig00005917	289076	407177	2595.1	1458
EOG090C007Y	Missing
EOG090C007Z	Complete	tig00006283	2396023	2430262	1458.2	1083
